Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-03,10:52:26
2,10 Porte Maubec,4,8,2026-07-03,10:52:26
3,11 Porte Dauphine,3,8,2026-07-03,10:52:26
4,20 Faculté de Sciences 2,6,10,2026-07-03,10:52:26
5,05 Place de Verdun,6,8,2026-07-03,10:52:26
6,26 Maison de la Charente-Maritime,6,10,2026-07-03,10:52:26
7,04 Marché,1,8,2026-07-03,10:52:26
8,16 Gare 2,5,14,2026-07-03,10:52:26
9,06 Maison de la Mobilité 1,5,10,2026-07-03,10:52:26
10,08 Vieux Port 1,5,14,2026-07-03,10:52:26
11,03 Arsenal 1,4,8,2026-07-03,10:52:26
12,21 Technoforum 1,0,8,2026-07-03,10:52:26
13,15 Office de tourisme (Simenon) 2,3,8,2026-07-03,10:52:26
14,24 EIGSI 1,3,8,2026-07-03,10:52:26
15,13 Médiathèque Michel Crépeau 1,6,8,2026-07-03,10:52:26
16,16 Gare 1,1,14,2026-07-03,10:52:26
17,22 Porte de Cougnes,6,10,2026-07-03,10:52:26
18,14 Bibliothèque Universitaire 1,1,14,2026-07-03,10:52:26
19,07 Préfecture,5,10,2026-07-03,10:52:26
20,25 IUT 2,3,8,2026-07-03,10:52:26
21,02 Quai Valin 1,7,8,2026-07-03,10:52:26
22,23 Place Cacaud 1,1,6,2026-07-03,10:52:26
23,25 IUT 1,2,8,2026-07-03,10:52:26
24,20 Plage des Minimes 4,0,10,2026-07-03,10:52:26
25,12 Piscine,7,10,2026-07-03,10:52:26
26,09 Office de Tourisme (Gabut) 1,1,10,2026-07-03,10:52:26
27,60 Commissariat,2,8,2026-07-03,10:52:26
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-03,10:52:26
29,108 Vaucanson,6,14,2026-07-03,10:52:26
30,28 Maison du Port La Pallice,4,8,2026-07-03,10:52:26
31,29 Mairie Annexe de Laleu,4,8,2026-07-03,10:52:26
32,30 Ludothèque de Mireuil,2,8,2026-07-03,10:52:26
33,31 Mairie Annexe de Mireuil,4,10,2026-07-03,10:52:26
34,32 Place St Maurice,5,10,2026-07-03,10:52:26
35,33 Marché de Port Neuf,4,8,2026-07-03,10:52:26
36,34 Maison de l'Emploi,4,8,2026-07-03,10:52:26
37,37 Plage de la Concurrence 1,5,10,2026-07-03,10:52:26
38,37 Plage de la Concurrence 2,3,10,2026-07-03,10:52:26
39,39 Lycée Vieljeux,5,10,2026-07-03,10:52:26
40,40 Cité Administrative Mangin,5,10,2026-07-03,10:52:26
41,42 LEP de Rompsay,7,12,2026-07-03,10:52:26
42,43 Mairie Annexe de Villeneuve,4,8,2026-07-03,10:52:26
43,44 Centre Cial. de Villeneuve,4,8,2026-07-03,10:52:26
44,45 Parking Jean-Moulin,8,14,2026-07-03,10:52:26
45,46 Eglise de Tasdon,4,8,2026-07-03,10:52:26
46,21 Technoforum 2,0,8,2026-07-03,10:52:26
47,48 Plage des Minimes 1,4,10,2026-07-03,10:52:26
48,48 Plage des Minimes 2,2,6,2026-07-03,10:52:26
