Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,16:42:51
2,10 Porte Maubec,4,8,2026-07-01,16:42:51
3,11 Porte Dauphine,5,8,2026-07-01,16:42:51
4,20 Faculté de Sciences 2,6,10,2026-07-01,16:42:51
5,05 Place de Verdun,8,8,2026-07-01,16:42:51
6,26 Maison de la Charente-Maritime,0,10,2026-07-01,16:42:51
7,04 Marché,2,8,2026-07-01,16:42:51
8,16 Gare 2,3,14,2026-07-01,16:42:51
9,06 Maison de la Mobilité 1,7,10,2026-07-01,16:42:51
10,08 Vieux Port 1,11,14,2026-07-01,16:42:51
11,03 Arsenal 1,3,8,2026-07-01,16:42:51
12,21 Technoforum 1,0,8,2026-07-01,16:42:51
13,15 Office de tourisme (Simenon) 2,6,8,2026-07-01,16:42:51
14,24 EIGSI 1,3,8,2026-07-01,16:42:51
15,13 Médiathèque Michel Crépeau 1,5,8,2026-07-01,16:42:51
16,16 Gare 1,6,14,2026-07-01,16:42:51
17,22 Porte de Cougnes,2,10,2026-07-01,16:42:51
18,14 Bibliothèque Universitaire 1,3,14,2026-07-01,16:42:51
19,07 Préfecture,6,10,2026-07-01,16:42:51
20,25 IUT 2,2,8,2026-07-01,16:42:51
21,02 Quai Valin 1,3,8,2026-07-01,16:42:51
22,23 Place Cacaud 1,2,6,2026-07-01,16:42:51
23,25 IUT 1,2,8,2026-07-01,16:42:51
24,20 Plage des Minimes 4,0,10,2026-07-01,16:42:51
25,12 Piscine,5,10,2026-07-01,16:42:51
26,09 Office de Tourisme (Gabut) 1,3,10,2026-07-01,16:42:51
27,60 Commissariat,5,8,2026-07-01,16:42:51
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,16:42:51
29,108 Vaucanson,6,14,2026-07-01,16:42:51
30,28 Maison du Port La Pallice,3,8,2026-07-01,16:42:51
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,16:42:51
32,30 Ludothèque de Mireuil,2,8,2026-07-01,16:42:51
33,31 Mairie Annexe de Mireuil,8,10,2026-07-01,16:42:51
34,32 Place St Maurice,4,10,2026-07-01,16:42:51
35,33 Marché de Port Neuf,5,8,2026-07-01,16:42:51
36,34 Maison de l'Emploi,4,8,2026-07-01,16:42:51
37,37 Plage de la Concurrence 1,7,10,2026-07-01,16:42:51
38,37 Plage de la Concurrence 2,3,10,2026-07-01,16:42:51
39,39 Lycée Vieljeux,3,10,2026-07-01,16:42:51
40,40 Cité Administrative Mangin,7,10,2026-07-01,16:42:51
41,42 LEP de Rompsay,5,12,2026-07-01,16:42:51
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-01,16:42:51
43,44 Centre Cial. de Villeneuve,4,8,2026-07-01,16:42:51
44,45 Parking Jean-Moulin,6,14,2026-07-01,16:42:51
45,46 Eglise de Tasdon,3,8,2026-07-01,16:42:51
