Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,5,8,2026-07-02,13:48:48
2,10 Porte Maubec,7,8,2026-07-02,13:48:48
3,11 Porte Dauphine,4,8,2026-07-02,13:48:48
4,20 Faculté de Sciences 2,5,10,2026-07-02,13:48:48
5,05 Place de Verdun,7,8,2026-07-02,13:48:48
6,26 Maison de la Charente-Maritime,5,10,2026-07-02,13:48:48
7,04 Marché,0,8,2026-07-02,13:48:48
8,16 Gare 2,14,14,2026-07-02,13:48:48
9,06 Maison de la Mobilité 1,10,10,2026-07-02,13:48:48
10,08 Vieux Port 1,3,14,2026-07-02,13:48:48
11,03 Arsenal 1,4,8,2026-07-02,13:48:48
12,21 Technoforum 1,3,8,2026-07-02,13:48:48
13,15 Office de tourisme (Simenon) 2,3,8,2026-07-02,13:48:48
14,24 EIGSI 1,1,8,2026-07-02,13:48:48
15,13 Médiathèque Michel Crépeau 1,2,8,2026-07-02,13:48:48
16,16 Gare 1,2,14,2026-07-02,13:48:48
17,22 Porte de Cougnes,6,10,2026-07-02,13:48:48
18,14 Bibliothèque Universitaire 1,5,14,2026-07-02,13:48:48
19,07 Préfecture,3,10,2026-07-02,13:48:48
20,25 IUT 2,1,8,2026-07-02,13:48:48
21,02 Quai Valin 1,4,8,2026-07-02,13:48:48
22,23 Place Cacaud 1,1,6,2026-07-02,13:48:48
23,25 IUT 1,1,8,2026-07-02,13:48:48
24,20 Plage des Minimes 4,0,10,2026-07-02,13:48:48
25,12 Piscine,5,10,2026-07-02,13:48:48
26,09 Office de Tourisme (Gabut) 1,7,10,2026-07-02,13:48:48
27,60 Commissariat,4,8,2026-07-02,13:48:48
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,13:48:48
29,108 Vaucanson,5,14,2026-07-02,13:48:48
30,28 Maison du Port La Pallice,4,8,2026-07-02,13:48:48
31,29 Mairie Annexe de Laleu,6,8,2026-07-02,13:48:48
32,30 Ludothèque de Mireuil,4,8,2026-07-02,13:48:48
33,31 Mairie Annexe de Mireuil,5,10,2026-07-02,13:48:48
34,32 Place St Maurice,6,10,2026-07-02,13:48:48
35,33 Marché de Port Neuf,3,8,2026-07-02,13:48:48
36,34 Maison de l'Emploi,4,8,2026-07-02,13:48:48
37,37 Plage de la Concurrence 1,6,10,2026-07-02,13:48:48
38,37 Plage de la Concurrence 2,3,10,2026-07-02,13:48:48
39,39 Lycée Vieljeux,5,10,2026-07-02,13:48:48
40,40 Cité Administrative Mangin,3,10,2026-07-02,13:48:48
41,42 LEP de Rompsay,9,12,2026-07-02,13:48:48
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-02,13:48:48
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,13:48:48
44,45 Parking Jean-Moulin,9,14,2026-07-02,13:48:48
45,46 Eglise de Tasdon,8,8,2026-07-02,13:48:48
46,21 Technoforum 2,5,8,2026-07-02,13:48:48
47,48 Plage des Minimes 1,3,10,2026-07-02,13:48:48
48,48 Plage des Minimes 2,1,6,2026-07-02,13:48:48
49,24 EIGSI 2,2,8,2026-07-02,13:48:48
50,51 Gymnase Universitaire 1,6,12,2026-07-02,13:48:48
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,13:48:48
52,38 Parc Franck Delmas,1,8,2026-07-02,13:48:48
53,53 Les Parcs,3,8,2026-07-02,13:48:48
54,52 Port de Pêche,4,10,2026-07-02,13:48:48
55,36 Eglise de La Genette,2,8,2026-07-02,13:48:48
56,109 P+R Simone Veil,5,14,2026-07-02,13:48:48
57,13 Médiathèque Michel Crépeau 2,0,8,2026-07-02,13:48:48
58,08 Vieux Port 2,5,14,2026-07-02,13:48:48
59,47 Institut Confucius de Chine,12,12,2026-07-02,13:48:48
60,20 Faculté de Sciences 3,5,10,2026-07-02,13:48:48
61,59 Place de Lafond,2,9,2026-07-02,13:48:48
62,03 Arsenal 2,4,8,2026-07-02,13:48:48
63,02 Quai valin 2,5,8,2026-07-02,13:48:48
64,14 Bibliothèque Universitaire 2,2,10,2026-07-02,13:48:48
65,21 Technoforum 3,7,8,2026-07-02,13:48:48
66,09 Office de Tourisme (Gabut) 2,8,10,2026-07-02,13:48:48
67,06 Maison de la Mobilité 2,5,10,2026-07-02,13:48:48
68,24 Plage des Minimes 3,0,8,2026-07-02,13:48:48
69,51 Gymnase Universitaire 2,2,8,2026-07-02,13:48:48
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-02,13:48:48
71,25 IUT 3,2,8,2026-07-02,13:48:48
72,57 Marché de la Pallice,2,8,2026-07-02,13:48:48
73,58 Digue du Bout Blanc,5,12,2026-07-02,13:48:48
74,61 Patte d'Oie,6,10,2026-07-02,13:48:48
75,62 Aquarium 2,2,10,2026-07-02,13:48:48
76,62 Aquarium 1,6,8,2026-07-02,13:48:48
77,63 08 mai 1945,7,14,2026-07-02,13:48:48
78,64 Aéroport,4,8,2026-07-02,13:48:48
79,65 Alstom,13,14,2026-07-02,13:48:48
80,66 Auberge de Jeunesse,4,10,2026-07-02,13:48:48
81,67 Beauregard,2,14,2026-07-02,13:48:48
82,68 Centre Commercial Beaulieu,5,10,2026-07-02,13:48:48
83,69 Centre social vent des lles,5,8,2026-07-02,13:48:48
84,70 Clinique de l'Atlantique,5,8,2026-07-02,13:48:48
85,71 Clos Margat,5,8,2026-07-02,13:48:48
86,72 Stade de Périgny,4,6,2026-07-02,13:48:48
87,73 Denfert Rochereau,5,8,2026-07-02,13:48:48
88,77 Gare d'Aytré,1,8,2026-07-02,13:48:48
89,56 Hôpital St Louis,3,10,2026-07-02,13:48:48
90,79 Les Corsaires,4,8,2026-07-02,13:48:48
91,80 La Pommeraie,5,8,2026-07-02,13:48:48
92,81 Lab Intech,7,10,2026-07-02,13:48:48
93,82 Lieutenant Bernier,4,8,2026-07-02,13:48:48
94,83 Lycée Hotelier,1,8,2026-07-02,13:48:48
95,84 Mairie d'Aytré,1,8,2026-07-02,13:48:48
96,85 Mairie de Lagord,3,8,2026-07-02,13:48:48
97,86 Musée Maritime,4,8,2026-07-02,13:48:48
98,87 Normandin,5,8,2026-07-02,13:48:48
99,88 Oiseaux de Mer,4,8,2026-07-02,13:48:48
100,90 Porte Royale,5,8,2026-07-02,13:48:48
