Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-02,17:35:42
2,10 Porte Maubec,5,8,2026-07-02,17:35:42
3,11 Porte Dauphine,4,8,2026-07-02,17:35:42
4,20 Faculté de Sciences 2,0,10,2026-07-02,17:35:42
5,05 Place de Verdun,1,8,2026-07-02,17:35:42
6,26 Maison de la Charente-Maritime,1,10,2026-07-02,17:35:42
7,04 Marché,5,8,2026-07-02,17:35:42
8,16 Gare 2,11,14,2026-07-02,17:35:42
9,06 Maison de la Mobilité 1,1,10,2026-07-02,17:35:42
10,08 Vieux Port 1,10,14,2026-07-02,17:35:42
11,03 Arsenal 1,4,8,2026-07-02,17:35:42
12,21 Technoforum 1,3,8,2026-07-02,17:35:42
13,15 Office de tourisme (Simenon) 2,4,8,2026-07-02,17:35:42
14,24 EIGSI 1,3,8,2026-07-02,17:35:42
15,13 Médiathèque Michel Crépeau 1,6,8,2026-07-02,17:35:42
16,16 Gare 1,9,14,2026-07-02,17:35:42
17,22 Porte de Cougnes,1,10,2026-07-02,17:35:42
18,14 Bibliothèque Universitaire 1,3,14,2026-07-02,17:35:42
19,07 Préfecture,3,10,2026-07-02,17:35:42
20,25 IUT 2,3,8,2026-07-02,17:35:42
21,02 Quai Valin 1,6,8,2026-07-02,17:35:42
22,23 Place Cacaud 1,1,6,2026-07-02,17:35:42
23,25 IUT 1,4,8,2026-07-02,17:35:42
24,20 Plage des Minimes 4,0,10,2026-07-02,17:35:42
25,12 Piscine,3,10,2026-07-02,17:35:42
26,09 Office de Tourisme (Gabut) 1,4,10,2026-07-02,17:35:42
27,60 Commissariat,4,8,2026-07-02,17:35:42
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,17:35:42
29,108 Vaucanson,8,14,2026-07-02,17:35:42
30,28 Maison du Port La Pallice,5,8,2026-07-02,17:35:42
31,29 Mairie Annexe de Laleu,1,8,2026-07-02,17:35:42
32,30 Ludothèque de Mireuil,4,8,2026-07-02,17:35:42
33,31 Mairie Annexe de Mireuil,5,10,2026-07-02,17:35:42
34,32 Place St Maurice,6,10,2026-07-02,17:35:42
35,33 Marché de Port Neuf,4,8,2026-07-02,17:35:42
36,34 Maison de l'Emploi,4,8,2026-07-02,17:35:42
37,37 Plage de la Concurrence 1,0,10,2026-07-02,17:35:42
38,37 Plage de la Concurrence 2,1,10,2026-07-02,17:35:42
39,39 Lycée Vieljeux,4,10,2026-07-02,17:35:42
40,40 Cité Administrative Mangin,5,10,2026-07-02,17:35:42
41,42 LEP de Rompsay,5,12,2026-07-02,17:35:42
42,43 Mairie Annexe de Villeneuve,8,8,2026-07-02,17:35:42
43,44 Centre Cial. de Villeneuve,6,8,2026-07-02,17:35:42
44,45 Parking Jean-Moulin,6,14,2026-07-02,17:35:42
45,46 Eglise de Tasdon,4,8,2026-07-02,17:35:42
46,21 Technoforum 2,1,8,2026-07-02,17:35:42
47,48 Plage des Minimes 1,8,10,2026-07-02,17:35:42
48,48 Plage des Minimes 2,5,6,2026-07-02,17:35:42
49,24 EIGSI 2,3,8,2026-07-02,17:35:42
50,51 Gymnase Universitaire 1,7,12,2026-07-02,17:35:42
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,17:35:42
52,38 Parc Franck Delmas,5,8,2026-07-02,17:35:42
53,53 Les Parcs,2,8,2026-07-02,17:35:42
54,52 Port de Pêche,4,10,2026-07-02,17:35:42
55,36 Eglise de La Genette,4,8,2026-07-02,17:35:42
56,109 P+R Simone Veil,7,14,2026-07-02,17:35:42
57,13 Médiathèque Michel Crépeau 2,4,8,2026-07-02,17:35:42
58,08 Vieux Port 2,12,14,2026-07-02,17:35:42
59,47 Institut Confucius de Chine,10,12,2026-07-02,17:35:42
60,20 Faculté de Sciences 3,0,10,2026-07-02,17:35:42
61,59 Place de Lafond,6,9,2026-07-02,17:35:42
62,03 Arsenal 2,4,8,2026-07-02,17:35:42
63,02 Quai valin 2,5,8,2026-07-02,17:35:42
64,14 Bibliothèque Universitaire 2,3,10,2026-07-02,17:35:42
65,21 Technoforum 3,0,8,2026-07-02,17:35:42
66,09 Office de Tourisme (Gabut) 2,4,10,2026-07-02,17:35:42
67,06 Maison de la Mobilité 2,0,10,2026-07-02,17:35:42
68,24 Plage des Minimes 3,2,8,2026-07-02,17:35:42
69,51 Gymnase Universitaire 2,2,8,2026-07-02,17:35:42
70,15 Office de tourisme (Simenon) 1,2,12,2026-07-02,17:35:42
71,25 IUT 3,1,8,2026-07-02,17:35:42
72,57 Marché de la Pallice,5,8,2026-07-02,17:35:42
73,58 Digue du Bout Blanc,1,12,2026-07-02,17:35:42
74,61 Patte d'Oie,8,10,2026-07-02,17:35:42
75,62 Aquarium 2,2,10,2026-07-02,17:35:42
76,62 Aquarium 1,8,8,2026-07-02,17:35:42
77,63 08 mai 1945,5,14,2026-07-02,17:35:42
78,64 Aéroport,4,8,2026-07-02,17:35:42
79,65 Alstom,9,14,2026-07-02,17:35:42
80,66 Auberge de Jeunesse,5,10,2026-07-02,17:35:42
81,67 Beauregard,6,14,2026-07-02,17:35:42
82,68 Centre Commercial Beaulieu,4,10,2026-07-02,17:35:42
83,69 Centre social vent des lles,5,8,2026-07-02,17:35:42
84,70 Clinique de l'Atlantique,5,8,2026-07-02,17:35:42
85,71 Clos Margat,7,8,2026-07-02,17:35:42
86,72 Stade de Périgny,4,6,2026-07-02,17:35:42
87,73 Denfert Rochereau,5,8,2026-07-02,17:35:42
88,77 Gare d'Aytré,7,8,2026-07-02,17:35:42
89,56 Hôpital St Louis,6,10,2026-07-02,17:35:42
90,79 Les Corsaires,3,8,2026-07-02,17:35:42
91,80 La Pommeraie,3,8,2026-07-02,17:35:42
92,81 Lab Intech,5,10,2026-07-02,17:35:42
93,82 Lieutenant Bernier,5,8,2026-07-02,17:35:42
94,83 Lycée Hotelier,5,8,2026-07-02,17:35:42
95,84 Mairie d'Aytré,2,8,2026-07-02,17:35:42
96,85 Mairie de Lagord,3,8,2026-07-02,17:35:42
97,86 Musée Maritime,4,8,2026-07-02,17:35:42
98,87 Normandin,5,8,2026-07-02,17:35:42
99,88 Oiseaux de Mer,4,8,2026-07-02,17:35:42
100,90 Porte Royale,4,8,2026-07-02,17:35:42
