Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-02,18:36:17
2,10 Porte Maubec,4,8,2026-07-02,18:36:17
3,11 Porte Dauphine,4,8,2026-07-02,18:36:17
4,20 Faculté de Sciences 2,2,10,2026-07-02,18:36:17
5,05 Place de Verdun,2,8,2026-07-02,18:36:17
6,26 Maison de la Charente-Maritime,0,10,2026-07-02,18:36:17
7,04 Marché,6,8,2026-07-02,18:36:17
8,16 Gare 2,3,14,2026-07-02,18:36:17
9,06 Maison de la Mobilité 1,4,10,2026-07-02,18:36:17
10,08 Vieux Port 1,9,14,2026-07-02,18:36:17
11,03 Arsenal 1,6,8,2026-07-02,18:36:17
12,21 Technoforum 1,3,8,2026-07-02,18:36:17
13,15 Office de tourisme (Simenon) 2,1,8,2026-07-02,18:36:17
14,24 EIGSI 1,3,8,2026-07-02,18:36:17
15,13 Médiathèque Michel Crépeau 1,1,8,2026-07-02,18:36:17
16,16 Gare 1,8,14,2026-07-02,18:36:17
17,22 Porte de Cougnes,5,10,2026-07-02,18:36:17
18,14 Bibliothèque Universitaire 1,5,14,2026-07-02,18:36:17
19,07 Préfecture,6,10,2026-07-02,18:36:17
20,25 IUT 2,1,8,2026-07-02,18:36:17
21,02 Quai Valin 1,7,8,2026-07-02,18:36:17
22,23 Place Cacaud 1,1,6,2026-07-02,18:36:17
23,25 IUT 1,4,8,2026-07-02,18:36:17
24,20 Plage des Minimes 4,0,10,2026-07-02,18:36:17
25,12 Piscine,2,10,2026-07-02,18:36:17
26,09 Office de Tourisme (Gabut) 1,3,10,2026-07-02,18:36:17
27,60 Commissariat,5,8,2026-07-02,18:36:17
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,18:36:17
29,108 Vaucanson,6,14,2026-07-02,18:36:17
30,28 Maison du Port La Pallice,5,8,2026-07-02,18:36:17
31,29 Mairie Annexe de Laleu,1,8,2026-07-02,18:36:17
32,30 Ludothèque de Mireuil,3,8,2026-07-02,18:36:17
33,31 Mairie Annexe de Mireuil,6,10,2026-07-02,18:36:17
34,32 Place St Maurice,3,10,2026-07-02,18:36:17
35,33 Marché de Port Neuf,4,8,2026-07-02,18:36:17
36,34 Maison de l'Emploi,5,8,2026-07-02,18:36:17
37,37 Plage de la Concurrence 1,4,10,2026-07-02,18:36:17
38,37 Plage de la Concurrence 2,4,10,2026-07-02,18:36:17
39,39 Lycée Vieljeux,4,10,2026-07-02,18:36:17
40,40 Cité Administrative Mangin,8,10,2026-07-02,18:36:17
41,42 LEP de Rompsay,4,12,2026-07-02,18:36:17
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-02,18:36:17
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,18:36:17
44,45 Parking Jean-Moulin,6,14,2026-07-02,18:36:17
45,46 Eglise de Tasdon,3,8,2026-07-02,18:36:17
46,21 Technoforum 2,5,8,2026-07-02,18:36:17
47,48 Plage des Minimes 1,5,10,2026-07-02,18:36:17
48,48 Plage des Minimes 2,2,6,2026-07-02,18:36:17
49,24 EIGSI 2,3,8,2026-07-02,18:36:17
50,51 Gymnase Universitaire 1,8,12,2026-07-02,18:36:17
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,18:36:17
52,38 Parc Franck Delmas,6,8,2026-07-02,18:36:17
53,53 Les Parcs,2,8,2026-07-02,18:36:17
54,52 Port de Pêche,4,10,2026-07-02,18:36:17
55,36 Eglise de La Genette,2,8,2026-07-02,18:36:17
56,109 P+R Simone Veil,8,14,2026-07-02,18:36:17
57,13 Médiathèque Michel Crépeau 2,1,8,2026-07-02,18:36:17
58,08 Vieux Port 2,10,14,2026-07-02,18:36:17
59,47 Institut Confucius de Chine,6,12,2026-07-02,18:36:17
60,20 Faculté de Sciences 3,3,10,2026-07-02,18:36:17
61,59 Place de Lafond,6,9,2026-07-02,18:36:17
62,03 Arsenal 2,2,8,2026-07-02,18:36:17
63,02 Quai valin 2,8,8,2026-07-02,18:36:17
64,14 Bibliothèque Universitaire 2,2,10,2026-07-02,18:36:17
65,21 Technoforum 3,3,8,2026-07-02,18:36:17
66,09 Office de Tourisme (Gabut) 2,3,10,2026-07-02,18:36:17
67,06 Maison de la Mobilité 2,5,10,2026-07-02,18:36:17
68,24 Plage des Minimes 3,0,8,2026-07-02,18:36:17
69,51 Gymnase Universitaire 2,2,8,2026-07-02,18:36:17
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-02,18:36:17
71,25 IUT 3,1,8,2026-07-02,18:36:17
72,57 Marché de la Pallice,4,8,2026-07-02,18:36:17
73,58 Digue du Bout Blanc,4,12,2026-07-02,18:36:17
74,61 Patte d'Oie,3,10,2026-07-02,18:36:17
75,62 Aquarium 2,2,10,2026-07-02,18:36:17
76,62 Aquarium 1,5,8,2026-07-02,18:36:17
77,63 08 mai 1945,5,14,2026-07-02,18:36:17
78,64 Aéroport,5,8,2026-07-02,18:36:17
79,65 Alstom,8,14,2026-07-02,18:36:17
80,66 Auberge de Jeunesse,8,10,2026-07-02,18:36:17
81,67 Beauregard,5,14,2026-07-02,18:36:17
82,68 Centre Commercial Beaulieu,4,10,2026-07-02,18:36:17
83,69 Centre social vent des lles,5,8,2026-07-02,18:36:17
84,70 Clinique de l'Atlantique,4,8,2026-07-02,18:36:17
85,71 Clos Margat,4,8,2026-07-02,18:36:17
86,72 Stade de Périgny,4,6,2026-07-02,18:36:17
87,73 Denfert Rochereau,5,8,2026-07-02,18:36:17
88,77 Gare d'Aytré,7,8,2026-07-02,18:36:17
89,56 Hôpital St Louis,8,10,2026-07-02,18:36:17
90,79 Les Corsaires,1,8,2026-07-02,18:36:17
91,80 La Pommeraie,3,8,2026-07-02,18:36:17
92,81 Lab Intech,5,10,2026-07-02,18:36:17
93,82 Lieutenant Bernier,6,8,2026-07-02,18:36:17
94,83 Lycée Hotelier,3,8,2026-07-02,18:36:17
95,84 Mairie d'Aytré,2,8,2026-07-02,18:36:17
96,85 Mairie de Lagord,4,8,2026-07-02,18:36:17
97,86 Musée Maritime,4,8,2026-07-02,18:36:17
98,87 Normandin,5,8,2026-07-02,18:36:17
99,88 Oiseaux de Mer,5,8,2026-07-02,18:36:17
100,90 Porte Royale,7,8,2026-07-02,18:36:17
