Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-01,20:30:17
2,10 Porte Maubec,5,8,2026-07-01,20:30:17
3,11 Porte Dauphine,4,8,2026-07-01,20:30:17
4,20 Faculté de Sciences 2,5,10,2026-07-01,20:30:17
5,05 Place de Verdun,1,8,2026-07-01,20:30:17
6,26 Maison de la Charente-Maritime,7,10,2026-07-01,20:30:17
7,04 Marché,3,8,2026-07-01,20:30:17
8,16 Gare 2,5,14,2026-07-01,20:30:17
9,06 Maison de la Mobilité 1,9,10,2026-07-01,20:30:17
10,08 Vieux Port 1,10,14,2026-07-01,20:30:17
11,03 Arsenal 1,5,8,2026-07-01,20:30:17
12,21 Technoforum 1,2,8,2026-07-01,20:30:17
13,15 Office de tourisme (Simenon) 2,4,8,2026-07-01,20:30:17
14,24 EIGSI 1,2,8,2026-07-01,20:30:17
15,13 Médiathèque Michel Crépeau 1,4,8,2026-07-01,20:30:17
16,16 Gare 1,1,14,2026-07-01,20:30:17
17,22 Porte de Cougnes,3,10,2026-07-01,20:30:17
18,14 Bibliothèque Universitaire 1,0,14,2026-07-01,20:30:17
19,07 Préfecture,4,10,2026-07-01,20:30:17
20,25 IUT 2,2,8,2026-07-01,20:30:17
21,02 Quai Valin 1,3,8,2026-07-01,20:30:17
22,23 Place Cacaud 1,0,6,2026-07-01,20:30:17
23,25 IUT 1,3,8,2026-07-01,20:30:17
24,20 Plage des Minimes 4,0,10,2026-07-01,20:30:17
25,12 Piscine,4,10,2026-07-01,20:30:17
26,09 Office de Tourisme (Gabut) 1,5,10,2026-07-01,20:30:17
27,60 Commissariat,3,8,2026-07-01,20:30:17
28,104 Office de Tourisme de Châtelaillon,6,8,2026-07-01,20:30:17
29,108 Vaucanson,5,14,2026-07-01,20:30:17
30,28 Maison du Port La Pallice,3,8,2026-07-01,20:30:17
31,29 Mairie Annexe de Laleu,8,8,2026-07-01,20:30:17
32,30 Ludothèque de Mireuil,1,8,2026-07-01,20:30:17
33,31 Mairie Annexe de Mireuil,7,10,2026-07-01,20:30:17
34,32 Place St Maurice,3,10,2026-07-01,20:30:17
35,33 Marché de Port Neuf,4,8,2026-07-01,20:30:17
36,34 Maison de l'Emploi,4,8,2026-07-01,20:30:17
37,37 Plage de la Concurrence 1,9,10,2026-07-01,20:30:17
38,37 Plage de la Concurrence 2,6,10,2026-07-01,20:30:17
39,39 Lycée Vieljeux,5,10,2026-07-01,20:30:17
40,40 Cité Administrative Mangin,10,10,2026-07-01,20:30:17
41,42 LEP de Rompsay,6,12,2026-07-01,20:30:17
42,43 Mairie Annexe de Villeneuve,6,8,2026-07-01,20:30:17
43,44 Centre Cial. de Villeneuve,5,8,2026-07-01,20:30:17
44,45 Parking Jean-Moulin,6,14,2026-07-01,20:30:17
45,46 Eglise de Tasdon,2,8,2026-07-01,20:30:17
46,21 Technoforum 2,2,8,2026-07-01,20:30:17
47,48 Plage des Minimes 1,3,10,2026-07-01,20:30:17
48,48 Plage des Minimes 2,2,6,2026-07-01,20:30:17
49,24 EIGSI 2,4,8,2026-07-01,20:30:17
50,51 Gymnase Universitaire 1,8,12,2026-07-01,20:30:17
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,20:30:17
52,38 Parc Franck Delmas,4,8,2026-07-01,20:30:17
53,53 Les Parcs,7,8,2026-07-01,20:30:17
54,52 Port de Pêche,5,10,2026-07-01,20:30:17
55,36 Eglise de La Genette,4,8,2026-07-01,20:30:17
56,109 P+R Simone Veil,4,14,2026-07-01,20:30:17
57,13 Médiathèque Michel Crépeau 2,4,8,2026-07-01,20:30:17
58,08 Vieux Port 2,13,14,2026-07-01,20:30:17
59,47 Institut Confucius de Chine,1,12,2026-07-01,20:30:17
60,20 Faculté de Sciences 3,3,10,2026-07-01,20:30:17
61,59 Place de Lafond,4,9,2026-07-01,20:30:17
62,03 Arsenal 2,3,8,2026-07-01,20:30:17
63,02 Quai valin 2,8,8,2026-07-01,20:30:17
64,14 Bibliothèque Universitaire 2,0,10,2026-07-01,20:30:17
65,21 Technoforum 3,4,8,2026-07-01,20:30:17
66,09 Office de Tourisme (Gabut) 2,6,10,2026-07-01,20:30:17
67,06 Maison de la Mobilité 2,4,10,2026-07-01,20:30:17
68,24 Plage des Minimes 3,0,8,2026-07-01,20:30:17
