Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,15:27:09
2,10 Porte Maubec,5,8,2026-07-01,15:27:09
3,11 Porte Dauphine,5,8,2026-07-01,15:27:09
4,20 Faculté de Sciences 2,8,10,2026-07-01,15:27:09
5,05 Place de Verdun,8,8,2026-07-01,15:27:09
6,26 Maison de la Charente-Maritime,3,10,2026-07-01,15:27:09
7,04 Marché,2,8,2026-07-01,15:27:09
8,16 Gare 2,1,14,2026-07-01,15:27:09
9,06 Maison de la Mobilité 1,5,10,2026-07-01,15:27:09
10,08 Vieux Port 1,12,14,2026-07-01,15:27:09
11,03 Arsenal 1,3,8,2026-07-01,15:27:09
12,21 Technoforum 1,2,8,2026-07-01,15:27:09
13,15 Office de tourisme (Simenon) 2,4,8,2026-07-01,15:27:09
14,24 EIGSI 1,3,8,2026-07-01,15:27:09
15,13 Médiathèque Michel Crépeau 1,4,8,2026-07-01,15:27:09
16,16 Gare 1,6,14,2026-07-01,15:27:09
17,22 Porte de Cougnes,5,10,2026-07-01,15:27:09
18,14 Bibliothèque Universitaire 1,4,14,2026-07-01,15:27:09
19,07 Préfecture,9,10,2026-07-01,15:27:09
20,25 IUT 2,2,8,2026-07-01,15:27:09
21,02 Quai Valin 1,4,8,2026-07-01,15:27:09
22,23 Place Cacaud 1,4,6,2026-07-01,15:27:09
23,25 IUT 1,0,8,2026-07-01,15:27:09
24,20 Plage des Minimes 4,0,10,2026-07-01,15:27:09
25,12 Piscine,5,10,2026-07-01,15:27:09
26,09 Office de Tourisme (Gabut) 1,3,10,2026-07-01,15:27:09
27,60 Commissariat,5,8,2026-07-01,15:27:09
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,15:27:09
29,108 Vaucanson,6,14,2026-07-01,15:27:09
30,28 Maison du Port La Pallice,4,8,2026-07-01,15:27:09
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,15:27:09
32,30 Ludothèque de Mireuil,2,8,2026-07-01,15:27:09
33,31 Mairie Annexe de Mireuil,6,10,2026-07-01,15:27:09
34,32 Place St Maurice,5,10,2026-07-01,15:27:09
35,33 Marché de Port Neuf,5,8,2026-07-01,15:27:09
36,34 Maison de l'Emploi,3,8,2026-07-01,15:27:09
37,37 Plage de la Concurrence 1,6,10,2026-07-01,15:27:09
38,37 Plage de la Concurrence 2,3,10,2026-07-01,15:27:09
39,39 Lycée Vieljeux,3,10,2026-07-01,15:27:09
40,40 Cité Administrative Mangin,4,10,2026-07-01,15:27:09
41,42 LEP de Rompsay,6,12,2026-07-01,15:27:09
42,43 Mairie Annexe de Villeneuve,7,8,2026-07-01,15:27:09
43,44 Centre Cial. de Villeneuve,4,8,2026-07-01,15:27:09
44,45 Parking Jean-Moulin,8,14,2026-07-01,15:27:09
45,46 Eglise de Tasdon,3,8,2026-07-01,15:27:09
46,21 Technoforum 2,3,8,2026-07-01,15:27:09
47,48 Plage des Minimes 1,1,10,2026-07-01,15:27:09
48,48 Plage des Minimes 2,0,6,2026-07-01,15:27:09
49,24 EIGSI 2,4,8,2026-07-01,15:27:09
50,51 Gymnase Universitaire 1,5,12,2026-07-01,15:27:09
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,15:27:09
52,38 Parc Franck Delmas,3,8,2026-07-01,15:27:09
53,53 Les Parcs,3,8,2026-07-01,15:27:09
54,52 Port de Pêche,5,10,2026-07-01,15:27:09
55,36 Eglise de La Genette,5,8,2026-07-01,15:27:09
56,109 P+R Simone Veil,4,14,2026-07-01,15:27:09
57,13 Médiathèque Michel Crépeau 2,5,8,2026-07-01,15:27:09
58,08 Vieux Port 2,6,14,2026-07-01,15:27:09
59,47 Institut Confucius de Chine,8,12,2026-07-01,15:27:09
60,20 Faculté de Sciences 3,2,10,2026-07-01,15:27:09
61,59 Place de Lafond,3,9,2026-07-01,15:27:09
62,03 Arsenal 2,2,8,2026-07-01,15:27:09
63,02 Quai valin 2,0,8,2026-07-01,15:27:09
64,14 Bibliothèque Universitaire 2,3,10,2026-07-01,15:27:09
65,21 Technoforum 3,4,8,2026-07-01,15:27:09
66,09 Office de Tourisme (Gabut) 2,3,10,2026-07-01,15:27:09
67,06 Maison de la Mobilité 2,1,10,2026-07-01,15:27:09
68,24 Plage des Minimes 3,0,8,2026-07-01,15:27:09
69,51 Gymnase Universitaire 2,2,8,2026-07-01,15:27:09
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-01,15:27:09
71,25 IUT 3,4,8,2026-07-01,15:27:09
72,57 Marché de la Pallice,5,8,2026-07-01,15:27:09
73,58 Digue du Bout Blanc,9,12,2026-07-01,15:27:09
74,61 Patte d'Oie,5,10,2026-07-01,15:27:09
75,62 Aquarium 2,3,10,2026-07-01,15:27:09
76,62 Aquarium 1,3,8,2026-07-01,15:27:09
77,63 08 mai 1945,4,14,2026-07-01,15:27:09
78,64 Aéroport,3,8,2026-07-01,15:27:09
79,65 Alstom,9,14,2026-07-01,15:27:09
80,66 Auberge de Jeunesse,2,10,2026-07-01,15:27:09
81,67 Beauregard,10,14,2026-07-01,15:27:09
82,68 Centre Commercial Beaulieu,5,10,2026-07-01,15:27:09
83,69 Centre social vent des lles,4,8,2026-07-01,15:27:09
84,70 Clinique de l'Atlantique,5,8,2026-07-01,15:27:09
85,71 Clos Margat,5,8,2026-07-01,15:27:09
86,72 Stade de Périgny,3,6,2026-07-01,15:27:09
87,73 Denfert Rochereau,3,8,2026-07-01,15:27:09
88,77 Gare d'Aytré,4,8,2026-07-01,15:27:09
89,56 Hôpital St Louis,3,10,2026-07-01,15:27:09
90,79 Les Corsaires,6,8,2026-07-01,15:27:09
91,80 La Pommeraie,1,8,2026-07-01,15:27:09
92,81 Lab Intech,5,10,2026-07-01,15:27:09
93,82 Lieutenant Bernier,3,8,2026-07-01,15:27:09
94,83 Lycée Hotelier,6,8,2026-07-01,15:27:09
95,84 Mairie d'Aytré,3,8,2026-07-01,15:27:09
96,85 Mairie de Lagord,2,8,2026-07-01,15:27:09
97,86 Musée Maritime,5,8,2026-07-01,15:27:09
98,87 Normandin,4,8,2026-07-01,15:27:09
99,88 Oiseaux de Mer,3,8,2026-07-01,15:27:09
100,90 Porte Royale,5,8,2026-07-01,15:27:09
