Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,5,8,2026-07-02,15:04:23
2,10 Porte Maubec,7,8,2026-07-02,15:04:23
3,11 Porte Dauphine,4,8,2026-07-02,15:04:23
4,20 Faculté de Sciences 2,3,10,2026-07-02,15:04:23
5,05 Place de Verdun,5,8,2026-07-02,15:04:23
6,26 Maison de la Charente-Maritime,3,10,2026-07-02,15:04:23
7,04 Marché,0,8,2026-07-02,15:04:23
8,16 Gare 2,14,14,2026-07-02,15:04:23
9,06 Maison de la Mobilité 1,2,10,2026-07-02,15:04:23
10,08 Vieux Port 1,7,14,2026-07-02,15:04:23
11,03 Arsenal 1,5,8,2026-07-02,15:04:23
12,21 Technoforum 1,3,8,2026-07-02,15:04:23
13,15 Office de tourisme (Simenon) 2,2,8,2026-07-02,15:04:23
14,24 EIGSI 1,1,8,2026-07-02,15:04:23
15,13 Médiathèque Michel Crépeau 1,3,8,2026-07-02,15:04:23
16,16 Gare 1,2,14,2026-07-02,15:04:23
17,22 Porte de Cougnes,5,10,2026-07-02,15:04:23
18,14 Bibliothèque Universitaire 1,7,14,2026-07-02,15:04:23
19,07 Préfecture,3,10,2026-07-02,15:04:23
20,25 IUT 2,2,8,2026-07-02,15:04:23
21,02 Quai Valin 1,6,8,2026-07-02,15:04:23
22,23 Place Cacaud 1,1,6,2026-07-02,15:04:23
23,25 IUT 1,0,8,2026-07-02,15:04:23
24,20 Plage des Minimes 4,0,10,2026-07-02,15:04:23
25,12 Piscine,4,10,2026-07-02,15:04:23
26,09 Office de Tourisme (Gabut) 1,5,10,2026-07-02,15:04:23
27,60 Commissariat,5,8,2026-07-02,15:04:23
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,15:04:23
29,108 Vaucanson,6,14,2026-07-02,15:04:23
30,28 Maison du Port La Pallice,4,8,2026-07-02,15:04:23
31,29 Mairie Annexe de Laleu,2,8,2026-07-02,15:04:23
32,30 Ludothèque de Mireuil,4,8,2026-07-02,15:04:23
33,31 Mairie Annexe de Mireuil,7,10,2026-07-02,15:04:23
34,32 Place St Maurice,4,10,2026-07-02,15:04:23
35,33 Marché de Port Neuf,3,8,2026-07-02,15:04:23
36,34 Maison de l'Emploi,4,8,2026-07-02,15:04:23
37,37 Plage de la Concurrence 1,4,10,2026-07-02,15:04:23
38,37 Plage de la Concurrence 2,1,10,2026-07-02,15:04:23
39,39 Lycée Vieljeux,5,10,2026-07-02,15:04:23
40,40 Cité Administrative Mangin,3,10,2026-07-02,15:04:23
41,42 LEP de Rompsay,8,12,2026-07-02,15:04:23
42,43 Mairie Annexe de Villeneuve,3,8,2026-07-02,15:04:23
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,15:04:23
44,45 Parking Jean-Moulin,8,14,2026-07-02,15:04:23
45,46 Eglise de Tasdon,5,8,2026-07-02,15:04:23
46,21 Technoforum 2,4,8,2026-07-02,15:04:23
47,48 Plage des Minimes 1,7,10,2026-07-02,15:04:23
48,48 Plage des Minimes 2,4,6,2026-07-02,15:04:23
49,24 EIGSI 2,2,8,2026-07-02,15:04:23
50,51 Gymnase Universitaire 1,6,12,2026-07-02,15:04:23
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,15:04:23
52,38 Parc Franck Delmas,3,8,2026-07-02,15:04:23
53,53 Les Parcs,3,8,2026-07-02,15:04:23
54,52 Port de Pêche,4,10,2026-07-02,15:04:23
55,36 Eglise de La Genette,4,8,2026-07-02,15:04:23
