Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-02,17:50:50
2,10 Porte Maubec,5,8,2026-07-02,17:50:50
3,11 Porte Dauphine,4,8,2026-07-02,17:50:50
4,20 Faculté de Sciences 2,4,10,2026-07-02,17:50:50
5,05 Place de Verdun,1,8,2026-07-02,17:50:50
6,26 Maison de la Charente-Maritime,0,10,2026-07-02,17:50:50
7,04 Marché,5,8,2026-07-02,17:50:50
8,16 Gare 2,1,14,2026-07-02,17:50:50
9,06 Maison de la Mobilité 1,1,10,2026-07-02,17:50:50
10,08 Vieux Port 1,10,14,2026-07-02,17:50:50
11,03 Arsenal 1,4,8,2026-07-02,17:50:50
12,21 Technoforum 1,1,8,2026-07-02,17:50:50
13,15 Office de tourisme (Simenon) 2,1,8,2026-07-02,17:50:50
14,24 EIGSI 1,3,8,2026-07-02,17:50:50
15,13 Médiathèque Michel Crépeau 1,7,8,2026-07-02,17:50:50
16,16 Gare 1,10,14,2026-07-02,17:50:50
17,22 Porte de Cougnes,1,10,2026-07-02,17:50:50
18,14 Bibliothèque Universitaire 1,4,14,2026-07-02,17:50:50
19,07 Préfecture,4,10,2026-07-02,17:50:50
20,25 IUT 2,3,8,2026-07-02,17:50:50
21,02 Quai Valin 1,6,8,2026-07-02,17:50:50
22,23 Place Cacaud 1,1,6,2026-07-02,17:50:50
23,25 IUT 1,4,8,2026-07-02,17:50:50
24,20 Plage des Minimes 4,0,10,2026-07-02,17:50:50
25,12 Piscine,2,10,2026-07-02,17:50:50
26,09 Office de Tourisme (Gabut) 1,5,10,2026-07-02,17:50:50
27,60 Commissariat,4,8,2026-07-02,17:50:50
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,17:50:50
29,108 Vaucanson,8,14,2026-07-02,17:50:50
30,28 Maison du Port La Pallice,5,8,2026-07-02,17:50:50
31,29 Mairie Annexe de Laleu,1,8,2026-07-02,17:50:50
32,30 Ludothèque de Mireuil,4,8,2026-07-02,17:50:50
33,31 Mairie Annexe de Mireuil,5,10,2026-07-02,17:50:50
34,32 Place St Maurice,6,10,2026-07-02,17:50:50
35,33 Marché de Port Neuf,4,8,2026-07-02,17:50:50
36,34 Maison de l'Emploi,4,8,2026-07-02,17:50:50
