Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,14:41:49
2,10 Porte Maubec,6,8,2026-07-01,14:41:49
3,11 Porte Dauphine,4,8,2026-07-01,14:41:49
4,20 Faculté de Sciences 2,8,10,2026-07-01,14:41:49
5,05 Place de Verdun,8,8,2026-07-01,14:41:49
6,26 Maison de la Charente-Maritime,4,10,2026-07-01,14:41:49
7,04 Marché,3,8,2026-07-01,14:41:49
8,16 Gare 2,1,14,2026-07-01,14:41:49
9,06 Maison de la Mobilité 1,5,10,2026-07-01,14:41:49
10,08 Vieux Port 1,14,14,2026-07-01,14:41:49
11,03 Arsenal 1,3,8,2026-07-01,14:41:49
12,21 Technoforum 1,1,8,2026-07-01,14:41:49
13,15 Office de tourisme (Simenon) 2,4,8,2026-07-01,14:41:49
14,24 EIGSI 1,2,8,2026-07-01,14:41:49
15,13 Médiathèque Michel Crépeau 1,4,8,2026-07-01,14:41:49
16,16 Gare 1,6,14,2026-07-01,14:41:49
17,22 Porte de Cougnes,4,10,2026-07-01,14:41:49
18,14 Bibliothèque Universitaire 1,4,14,2026-07-01,14:41:49
19,07 Préfecture,7,10,2026-07-01,14:41:49
20,25 IUT 2,4,8,2026-07-01,14:41:49
21,02 Quai Valin 1,5,8,2026-07-01,14:41:49
22,23 Place Cacaud 1,5,6,2026-07-01,14:41:49
23,25 IUT 1,1,8,2026-07-01,14:41:49
24,20 Plage des Minimes 4,0,10,2026-07-01,14:41:49
25,12 Piscine,5,10,2026-07-01,14:41:49
26,09 Office de Tourisme (Gabut) 1,6,10,2026-07-01,14:41:49
27,60 Commissariat,4,8,2026-07-01,14:41:49
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,14:41:49
29,108 Vaucanson,6,14,2026-07-01,14:41:49
30,28 Maison du Port La Pallice,5,8,2026-07-01,14:41:49
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,14:41:49
32,30 Ludothèque de Mireuil,3,8,2026-07-01,14:41:49
33,31 Mairie Annexe de Mireuil,7,10,2026-07-01,14:41:49
34,32 Place St Maurice,6,10,2026-07-01,14:41:49
35,33 Marché de Port Neuf,4,8,2026-07-01,14:41:49
36,34 Maison de l'Emploi,3,8,2026-07-01,14:41:49
37,37 Plage de la Concurrence 1,5,10,2026-07-01,14:41:49
38,37 Plage de la Concurrence 2,4,10,2026-07-01,14:41:49
39,39 Lycée Vieljeux,3,10,2026-07-01,14:41:49
40,40 Cité Administrative Mangin,5,10,2026-07-01,14:41:49
41,42 LEP de Rompsay,5,12,2026-07-01,14:41:49
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-01,14:41:49
43,44 Centre Cial. de Villeneuve,4,8,2026-07-01,14:41:49
44,45 Parking Jean-Moulin,8,14,2026-07-01,14:41:49
45,46 Eglise de Tasdon,3,8,2026-07-01,14:41:49
46,21 Technoforum 2,2,8,2026-07-01,14:41:49
47,48 Plage des Minimes 1,1,10,2026-07-01,14:41:49
48,48 Plage des Minimes 2,0,6,2026-07-01,14:41:49
49,24 EIGSI 2,4,8,2026-07-01,14:41:49
50,51 Gymnase Universitaire 1,5,12,2026-07-01,14:41:49
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,14:41:49
52,38 Parc Franck Delmas,3,8,2026-07-01,14:41:49
53,53 Les Parcs,2,8,2026-07-01,14:41:49
54,52 Port de Pêche,5,10,2026-07-01,14:41:49
55,36 Eglise de La Genette,5,8,2026-07-01,14:41:49
56,109 P+R Simone Veil,4,14,2026-07-01,14:41:49
57,13 Médiathèque Michel Crépeau 2,5,8,2026-07-01,14:41:49
58,08 Vieux Port 2,14,14,2026-07-01,14:41:49
59,47 Institut Confucius de Chine,8,12,2026-07-01,14:41:49
60,20 Faculté de Sciences 3,2,10,2026-07-01,14:41:49
61,59 Place de Lafond,3,9,2026-07-01,14:41:49
62,03 Arsenal 2,2,8,2026-07-01,14:41:49
63,02 Quai valin 2,0,8,2026-07-01,14:41:49
64,14 Bibliothèque Universitaire 2,0,10,2026-07-01,14:41:49
65,21 Technoforum 3,5,8,2026-07-01,14:41:49
66,09 Office de Tourisme (Gabut) 2,2,10,2026-07-01,14:41:49
67,06 Maison de la Mobilité 2,2,10,2026-07-01,14:41:49
68,24 Plage des Minimes 3,0,8,2026-07-01,14:41:49
69,51 Gymnase Universitaire 2,2,8,2026-07-01,14:41:49
