Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-01,21:10:59
2,10 Porte Maubec,4,8,2026-07-01,21:10:59
3,11 Porte Dauphine,4,8,2026-07-01,21:10:59
4,20 Faculté de Sciences 2,5,10,2026-07-01,21:10:59
5,05 Place de Verdun,2,8,2026-07-01,21:10:59
6,26 Maison de la Charente-Maritime,7,10,2026-07-01,21:10:59
7,04 Marché,4,8,2026-07-01,21:10:59
8,16 Gare 2,3,14,2026-07-01,21:10:59
9,06 Maison de la Mobilité 1,9,10,2026-07-01,21:10:59
10,08 Vieux Port 1,13,14,2026-07-01,21:10:59
11,03 Arsenal 1,0,8,2026-07-01,21:10:59
12,21 Technoforum 1,1,8,2026-07-01,21:10:59
13,15 Office de tourisme (Simenon) 2,7,8,2026-07-01,21:10:59
14,24 EIGSI 1,2,8,2026-07-01,21:10:59
15,13 Médiathèque Michel Crépeau 1,1,8,2026-07-01,21:10:59
16,16 Gare 1,1,14,2026-07-01,21:10:59
17,22 Porte de Cougnes,2,10,2026-07-01,21:10:59
18,14 Bibliothèque Universitaire 1,0,14,2026-07-01,21:10:59
19,07 Préfecture,5,10,2026-07-01,21:10:59
20,25 IUT 2,1,8,2026-07-01,21:10:59
21,02 Quai Valin 1,8,8,2026-07-01,21:10:59
22,23 Place Cacaud 1,0,6,2026-07-01,21:10:59
23,25 IUT 1,2,8,2026-07-01,21:10:59
24,20 Plage des Minimes 4,0,10,2026-07-01,21:10:59
25,12 Piscine,4,10,2026-07-01,21:10:59
26,09 Office de Tourisme (Gabut) 1,7,10,2026-07-01,21:10:59
27,60 Commissariat,3,8,2026-07-01,21:10:59
28,104 Office de Tourisme de Châtelaillon,7,8,2026-07-01,21:10:59
29,108 Vaucanson,5,14,2026-07-01,21:10:59
30,28 Maison du Port La Pallice,3,8,2026-07-01,21:10:59
31,29 Mairie Annexe de Laleu,8,8,2026-07-01,21:10:59
32,30 Ludothèque de Mireuil,1,8,2026-07-01,21:10:59
33,31 Mairie Annexe de Mireuil,7,10,2026-07-01,21:10:59
34,32 Place St Maurice,4,10,2026-07-01,21:10:59
35,33 Marché de Port Neuf,4,8,2026-07-01,21:10:59
36,34 Maison de l'Emploi,4,8,2026-07-01,21:10:59
37,37 Plage de la Concurrence 1,6,10,2026-07-01,21:10:59
38,37 Plage de la Concurrence 2,6,10,2026-07-01,21:10:59
39,39 Lycée Vieljeux,4,10,2026-07-01,21:10:59
40,40 Cité Administrative Mangin,10,10,2026-07-01,21:10:59
41,42 LEP de Rompsay,6,12,2026-07-01,21:10:59
42,43 Mairie Annexe de Villeneuve,6,8,2026-07-01,21:10:59
43,44 Centre Cial. de Villeneuve,5,8,2026-07-01,21:10:59
44,45 Parking Jean-Moulin,6,14,2026-07-01,21:10:59
45,46 Eglise de Tasdon,1,8,2026-07-01,21:10:59
46,21 Technoforum 2,5,8,2026-07-01,21:10:59
47,48 Plage des Minimes 1,3,10,2026-07-01,21:10:59
48,48 Plage des Minimes 2,1,6,2026-07-01,21:10:59
49,24 EIGSI 2,4,8,2026-07-01,21:10:59
50,51 Gymnase Universitaire 1,8,12,2026-07-01,21:10:59
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,21:10:59
52,38 Parc Franck Delmas,3,8,2026-07-01,21:10:59
53,53 Les Parcs,7,8,2026-07-01,21:10:59
54,52 Port de Pêche,5,10,2026-07-01,21:10:59
55,36 Eglise de La Genette,4,8,2026-07-01,21:10:59
56,109 P+R Simone Veil,4,14,2026-07-01,21:10:59
57,13 Médiathèque Michel Crépeau 2,2,8,2026-07-01,21:10:59
58,08 Vieux Port 2,14,14,2026-07-01,21:10:59
59,47 Institut Confucius de Chine,6,12,2026-07-01,21:10:59
60,20 Faculté de Sciences 3,3,10,2026-07-01,21:10:59
61,59 Place de Lafond,4,9,2026-07-01,21:10:59
62,03 Arsenal 2,3,8,2026-07-01,21:10:59
63,02 Quai valin 2,8,8,2026-07-01,21:10:59
64,14 Bibliothèque Universitaire 2,0,10,2026-07-01,21:10:59
65,21 Technoforum 3,4,8,2026-07-01,21:10:59
66,09 Office de Tourisme (Gabut) 2,6,10,2026-07-01,21:10:59
67,06 Maison de la Mobilité 2,5,10,2026-07-01,21:10:59
68,24 Plage des Minimes 3,0,8,2026-07-01,21:10:59
69,51 Gymnase Universitaire 2,2,8,2026-07-01,21:10:59
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-01,21:10:59
71,25 IUT 3,1,8,2026-07-01,21:10:59
72,57 Marché de la Pallice,4,8,2026-07-01,21:10:59
73,58 Digue du Bout Blanc,9,12,2026-07-01,21:10:59
74,61 Patte d'Oie,5,10,2026-07-01,21:10:59
75,62 Aquarium 2,1,10,2026-07-01,21:10:59
76,62 Aquarium 1,2,8,2026-07-01,21:10:59
77,63 08 mai 1945,6,14,2026-07-01,21:10:59
78,64 Aéroport,3,8,2026-07-01,21:10:59
79,65 Alstom,1,14,2026-07-01,21:10:59
80,66 Auberge de Jeunesse,10,10,2026-07-01,21:10:59
81,67 Beauregard,8,14,2026-07-01,21:10:59
82,68 Centre Commercial Beaulieu,5,10,2026-07-01,21:10:59
83,69 Centre social vent des lles,4,8,2026-07-01,21:10:59
84,70 Clinique de l'Atlantique,5,8,2026-07-01,21:10:59
85,71 Clos Margat,4,8,2026-07-01,21:10:59
86,72 Stade de Périgny,3,6,2026-07-01,21:10:59
87,73 Denfert Rochereau,6,8,2026-07-01,21:10:59
88,77 Gare d'Aytré,4,8,2026-07-01,21:10:59
89,56 Hôpital St Louis,3,10,2026-07-01,21:10:59
90,79 Les Corsaires,6,8,2026-07-01,21:10:59
91,80 La Pommeraie,5,8,2026-07-01,21:10:59
92,81 Lab Intech,3,10,2026-07-01,21:10:59
93,82 Lieutenant Bernier,5,8,2026-07-01,21:10:59
94,83 Lycée Hotelier,3,8,2026-07-01,21:10:59
95,84 Mairie d'Aytré,2,8,2026-07-01,21:10:59
96,85 Mairie de Lagord,2,8,2026-07-01,21:10:59
97,86 Musée Maritime,2,8,2026-07-01,21:10:59
98,87 Normandin,3,8,2026-07-01,21:10:59
99,88 Oiseaux de Mer,3,8,2026-07-01,21:10:59
100,90 Porte Royale,4,8,2026-07-01,21:10:59
