Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-02,17:20:34
2,10 Porte Maubec,5,8,2026-07-02,17:20:34
3,11 Porte Dauphine,4,8,2026-07-02,17:20:34
4,20 Faculté de Sciences 2,0,10,2026-07-02,17:20:34
5,05 Place de Verdun,2,8,2026-07-02,17:20:34
6,26 Maison de la Charente-Maritime,1,10,2026-07-02,17:20:34
7,04 Marché,3,8,2026-07-02,17:20:34
8,16 Gare 2,10,14,2026-07-02,17:20:34
9,06 Maison de la Mobilité 1,3,10,2026-07-02,17:20:34
10,08 Vieux Port 1,10,14,2026-07-02,17:20:34
11,03 Arsenal 1,4,8,2026-07-02,17:20:34
12,21 Technoforum 1,3,8,2026-07-02,17:20:34
13,15 Office de tourisme (Simenon) 2,3,8,2026-07-02,17:20:34
14,24 EIGSI 1,4,8,2026-07-02,17:20:34
15,13 Médiathèque Michel Crépeau 1,6,8,2026-07-02,17:20:34
16,16 Gare 1,9,14,2026-07-02,17:20:34
17,22 Porte de Cougnes,1,10,2026-07-02,17:20:34
18,14 Bibliothèque Universitaire 1,3,14,2026-07-02,17:20:34
19,07 Préfecture,4,10,2026-07-02,17:20:34
20,25 IUT 2,2,8,2026-07-02,17:20:34
21,02 Quai Valin 1,8,8,2026-07-02,17:20:34
22,23 Place Cacaud 1,1,6,2026-07-02,17:20:34
23,25 IUT 1,4,8,2026-07-02,17:20:34
24,20 Plage des Minimes 4,0,10,2026-07-02,17:20:34
25,12 Piscine,4,10,2026-07-02,17:20:34
26,09 Office de Tourisme (Gabut) 1,3,10,2026-07-02,17:20:34
27,60 Commissariat,5,8,2026-07-02,17:20:34
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,17:20:34
29,108 Vaucanson,8,14,2026-07-02,17:20:34
30,28 Maison du Port La Pallice,5,8,2026-07-02,17:20:34
31,29 Mairie Annexe de Laleu,1,8,2026-07-02,17:20:34
