Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-01,20:54:44
2,10 Porte Maubec,4,8,2026-07-01,20:54:44
3,11 Porte Dauphine,5,8,2026-07-01,20:54:44
4,20 Faculté de Sciences 2,5,10,2026-07-01,20:54:44
5,05 Place de Verdun,2,8,2026-07-01,20:54:44
6,26 Maison de la Charente-Maritime,7,10,2026-07-01,20:54:44
7,04 Marché,3,8,2026-07-01,20:54:44
8,16 Gare 2,5,14,2026-07-01,20:54:44
9,06 Maison de la Mobilité 1,9,10,2026-07-01,20:54:44
10,08 Vieux Port 1,13,14,2026-07-01,20:54:44
11,03 Arsenal 1,5,8,2026-07-01,20:54:44
12,21 Technoforum 1,1,8,2026-07-01,20:54:44
13,15 Office de tourisme (Simenon) 2,6,8,2026-07-01,20:54:44
14,24 EIGSI 1,2,8,2026-07-01,20:54:44
15,13 Médiathèque Michel Crépeau 1,2,8,2026-07-01,20:54:44
16,16 Gare 1,1,14,2026-07-01,20:54:44
17,22 Porte de Cougnes,2,10,2026-07-01,20:54:44
18,14 Bibliothèque Universitaire 1,0,14,2026-07-01,20:54:44
19,07 Préfecture,3,10,2026-07-01,20:54:44
20,25 IUT 2,1,8,2026-07-01,20:54:44
21,02 Quai Valin 1,8,8,2026-07-01,20:54:44
22,23 Place Cacaud 1,0,6,2026-07-01,20:54:44
23,25 IUT 1,3,8,2026-07-01,20:54:44
24,20 Plage des Minimes 4,0,10,2026-07-01,20:54:44
25,12 Piscine,4,10,2026-07-01,20:54:44
26,09 Office de Tourisme (Gabut) 1,7,10,2026-07-01,20:54:44
27,60 Commissariat,3,8,2026-07-01,20:54:44
28,104 Office de Tourisme de Châtelaillon,6,8,2026-07-01,20:54:44
29,108 Vaucanson,5,14,2026-07-01,20:54:44
30,28 Maison du Port La Pallice,3,8,2026-07-01,20:54:44
31,29 Mairie Annexe de Laleu,8,8,2026-07-01,20:54:44
32,30 Ludothèque de Mireuil,1,8,2026-07-01,20:54:44
33,31 Mairie Annexe de Mireuil,7,10,2026-07-01,20:54:44
34,32 Place St Maurice,4,10,2026-07-01,20:54:44
35,33 Marché de Port Neuf,5,8,2026-07-01,20:54:44
36,34 Maison de l'Emploi,4,8,2026-07-01,20:54:44
37,37 Plage de la Concurrence 1,7,10,2026-07-01,20:54:44
38,37 Plage de la Concurrence 2,7,10,2026-07-01,20:54:44
39,39 Lycée Vieljeux,4,10,2026-07-01,20:54:44
40,40 Cité Administrative Mangin,10,10,2026-07-01,20:54:44
41,42 LEP de Rompsay,6,12,2026-07-01,20:54:44
42,43 Mairie Annexe de Villeneuve,6,8,2026-07-01,20:54:44
43,44 Centre Cial. de Villeneuve,5,8,2026-07-01,20:54:44
44,45 Parking Jean-Moulin,6,14,2026-07-01,20:54:44
45,46 Eglise de Tasdon,1,8,2026-07-01,20:54:44
46,21 Technoforum 2,4,8,2026-07-01,20:54:44
47,48 Plage des Minimes 1,3,10,2026-07-01,20:54:44
48,48 Plage des Minimes 2,2,6,2026-07-01,20:54:44
49,24 EIGSI 2,4,8,2026-07-01,20:54:44
50,51 Gymnase Universitaire 1,8,12,2026-07-01,20:54:44
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,20:54:44
52,38 Parc Franck Delmas,3,8,2026-07-01,20:54:44
53,53 Les Parcs,7,8,2026-07-01,20:54:44
54,52 Port de Pêche,5,10,2026-07-01,20:54:44
55,36 Eglise de La Genette,4,8,2026-07-01,20:54:44
56,109 P+R Simone Veil,4,14,2026-07-01,20:54:44
57,13 Médiathèque Michel Crépeau 2,3,8,2026-07-01,20:54:44
58,08 Vieux Port 2,14,14,2026-07-01,20:54:44
59,47 Institut Confucius de Chine,7,12,2026-07-01,20:54:44
60,20 Faculté de Sciences 3,3,10,2026-07-01,20:54:44
61,59 Place de Lafond,4,9,2026-07-01,20:54:44
62,03 Arsenal 2,3,8,2026-07-01,20:54:44
63,02 Quai valin 2,8,8,2026-07-01,20:54:44
64,14 Bibliothèque Universitaire 2,0,10,2026-07-01,20:54:44
65,21 Technoforum 3,3,8,2026-07-01,20:54:44
66,09 Office de Tourisme (Gabut) 2,4,10,2026-07-01,20:54:44
