Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,15:57:24
2,10 Porte Maubec,6,8,2026-07-01,15:57:24
3,11 Porte Dauphine,5,8,2026-07-01,15:57:24
4,20 Faculté de Sciences 2,7,10,2026-07-01,15:57:24
5,05 Place de Verdun,8,8,2026-07-01,15:57:24
6,26 Maison de la Charente-Maritime,2,10,2026-07-01,15:57:24
7,04 Marché,1,8,2026-07-01,15:57:24
8,16 Gare 2,1,14,2026-07-01,15:57:24
9,06 Maison de la Mobilité 1,8,10,2026-07-01,15:57:24
10,08 Vieux Port 1,11,14,2026-07-01,15:57:24
11,03 Arsenal 1,3,8,2026-07-01,15:57:24
12,21 Technoforum 1,0,8,2026-07-01,15:57:24
13,15 Office de tourisme (Simenon) 2,6,8,2026-07-01,15:57:24
14,24 EIGSI 1,3,8,2026-07-01,15:57:24
15,13 Médiathèque Michel Crépeau 1,3,8,2026-07-01,15:57:24
16,16 Gare 1,7,14,2026-07-01,15:57:24
17,22 Porte de Cougnes,3,10,2026-07-01,15:57:24
18,14 Bibliothèque Universitaire 1,4,14,2026-07-01,15:57:24
19,07 Préfecture,10,10,2026-07-01,15:57:24
20,25 IUT 2,2,8,2026-07-01,15:57:24
21,02 Quai Valin 1,3,8,2026-07-01,15:57:24
22,23 Place Cacaud 1,4,6,2026-07-01,15:57:24
23,25 IUT 1,3,8,2026-07-01,15:57:24
24,20 Plage des Minimes 4,0,10,2026-07-01,15:57:24
25,12 Piscine,5,10,2026-07-01,15:57:24
26,09 Office de Tourisme (Gabut) 1,3,10,2026-07-01,15:57:24
27,60 Commissariat,5,8,2026-07-01,15:57:24
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,15:57:24
29,108 Vaucanson,6,14,2026-07-01,15:57:24
30,28 Maison du Port La Pallice,4,8,2026-07-01,15:57:24
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,15:57:24
32,30 Ludothèque de Mireuil,2,8,2026-07-01,15:57:24
33,31 Mairie Annexe de Mireuil,6,10,2026-07-01,15:57:24
34,32 Place St Maurice,5,10,2026-07-01,15:57:24
35,33 Marché de Port Neuf,5,8,2026-07-01,15:57:24
36,34 Maison de l'Emploi,3,8,2026-07-01,15:57:24
37,37 Plage de la Concurrence 1,6,10,2026-07-01,15:57:24
38,37 Plage de la Concurrence 2,3,10,2026-07-01,15:57:24
39,39 Lycée Vieljeux,3,10,2026-07-01,15:57:24
40,40 Cité Administrative Mangin,4,10,2026-07-01,15:57:24
41,42 LEP de Rompsay,7,12,2026-07-01,15:57:24
42,43 Mairie Annexe de Villeneuve,4,8,2026-07-01,15:57:24
43,44 Centre Cial. de Villeneuve,4,8,2026-07-01,15:57:24
44,45 Parking Jean-Moulin,8,14,2026-07-01,15:57:24
45,46 Eglise de Tasdon,1,8,2026-07-01,15:57:24
46,21 Technoforum 2,3,8,2026-07-01,15:57:24
47,48 Plage des Minimes 1,1,10,2026-07-01,15:57:24
48,48 Plage des Minimes 2,4,6,2026-07-01,15:57:24
49,24 EIGSI 2,3,8,2026-07-01,15:57:24
50,51 Gymnase Universitaire 1,5,12,2026-07-01,15:57:24
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,15:57:24
52,38 Parc Franck Delmas,3,8,2026-07-01,15:57:24
53,53 Les Parcs,4,8,2026-07-01,15:57:24
54,52 Port de Pêche,5,10,2026-07-01,15:57:24
55,36 Eglise de La Genette,3,8,2026-07-01,15:57:24
56,109 P+R Simone Veil,4,14,2026-07-01,15:57:24
57,13 Médiathèque Michel Crépeau 2,5,8,2026-07-01,15:57:24
58,08 Vieux Port 2,7,14,2026-07-01,15:57:24
59,47 Institut Confucius de Chine,12,12,2026-07-01,15:57:24
60,20 Faculté de Sciences 3,2,10,2026-07-01,15:57:24
61,59 Place de Lafond,3,9,2026-07-01,15:57:24
62,03 Arsenal 2,2,8,2026-07-01,15:57:24
63,02 Quai valin 2,0,8,2026-07-01,15:57:24
64,14 Bibliothèque Universitaire 2,3,10,2026-07-01,15:57:24
65,21 Technoforum 3,5,8,2026-07-01,15:57:24
66,09 Office de Tourisme (Gabut) 2,2,10,2026-07-01,15:57:24
67,06 Maison de la Mobilité 2,4,10,2026-07-01,15:57:24
68,24 Plage des Minimes 3,0,8,2026-07-01,15:57:24
69,51 Gymnase Universitaire 2,2,8,2026-07-01,15:57:24
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-01,15:57:24
71,25 IUT 3,4,8,2026-07-01,15:57:24
72,57 Marché de la Pallice,5,8,2026-07-01,15:57:24
73,58 Digue du Bout Blanc,4,12,2026-07-01,15:57:24
74,61 Patte d'Oie,3,10,2026-07-01,15:57:24
75,62 Aquarium 2,3,10,2026-07-01,15:57:24
76,62 Aquarium 1,2,8,2026-07-01,15:57:24
77,63 08 mai 1945,3,14,2026-07-01,15:57:24
78,64 Aéroport,3,8,2026-07-01,15:57:24
79,65 Alstom,9,14,2026-07-01,15:57:24
