Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,5,8,2026-07-02,14:34:09
2,10 Porte Maubec,8,8,2026-07-02,14:34:09
3,11 Porte Dauphine,4,8,2026-07-02,14:34:09
4,20 Faculté de Sciences 2,5,10,2026-07-02,14:34:09
5,05 Place de Verdun,4,8,2026-07-02,14:34:09
6,26 Maison de la Charente-Maritime,4,10,2026-07-02,14:34:09
7,04 Marché,0,8,2026-07-02,14:34:09
8,16 Gare 2,14,14,2026-07-02,14:34:09
9,06 Maison de la Mobilité 1,2,10,2026-07-02,14:34:09
10,08 Vieux Port 1,6,14,2026-07-02,14:34:09
11,03 Arsenal 1,5,8,2026-07-02,14:34:09
12,21 Technoforum 1,3,8,2026-07-02,14:34:09
13,15 Office de tourisme (Simenon) 2,3,8,2026-07-02,14:34:09
14,24 EIGSI 1,1,8,2026-07-02,14:34:09
15,13 Médiathèque Michel Crépeau 1,1,8,2026-07-02,14:34:09
16,16 Gare 1,2,14,2026-07-02,14:34:09
17,22 Porte de Cougnes,6,10,2026-07-02,14:34:09
18,14 Bibliothèque Universitaire 1,5,14,2026-07-02,14:34:09
19,07 Préfecture,2,10,2026-07-02,14:34:09
20,25 IUT 2,1,8,2026-07-02,14:34:09
21,02 Quai Valin 1,6,8,2026-07-02,14:34:09
22,23 Place Cacaud 1,1,6,2026-07-02,14:34:09
23,25 IUT 1,0,8,2026-07-02,14:34:09
24,20 Plage des Minimes 4,0,10,2026-07-02,14:34:09
25,12 Piscine,4,10,2026-07-02,14:34:09
26,09 Office de Tourisme (Gabut) 1,7,10,2026-07-02,14:34:09
27,60 Commissariat,4,8,2026-07-02,14:34:09
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,14:34:09
29,108 Vaucanson,6,14,2026-07-02,14:34:09
30,28 Maison du Port La Pallice,4,8,2026-07-02,14:34:09
31,29 Mairie Annexe de Laleu,4,8,2026-07-02,14:34:09
32,30 Ludothèque de Mireuil,4,8,2026-07-02,14:34:09
33,31 Mairie Annexe de Mireuil,7,10,2026-07-02,14:34:09
34,32 Place St Maurice,4,10,2026-07-02,14:34:09
35,33 Marché de Port Neuf,3,8,2026-07-02,14:34:09
36,34 Maison de l'Emploi,4,8,2026-07-02,14:34:09
37,37 Plage de la Concurrence 1,5,10,2026-07-02,14:34:09
38,37 Plage de la Concurrence 2,2,10,2026-07-02,14:34:09
39,39 Lycée Vieljeux,5,10,2026-07-02,14:34:09
40,40 Cité Administrative Mangin,3,10,2026-07-02,14:34:09
41,42 LEP de Rompsay,8,12,2026-07-02,14:34:09
42,43 Mairie Annexe de Villeneuve,6,8,2026-07-02,14:34:09
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,14:34:09
44,45 Parking Jean-Moulin,8,14,2026-07-02,14:34:09
45,46 Eglise de Tasdon,4,8,2026-07-02,14:34:09
46,21 Technoforum 2,5,8,2026-07-02,14:34:09
47,48 Plage des Minimes 1,4,10,2026-07-02,14:34:09
48,48 Plage des Minimes 2,3,6,2026-07-02,14:34:09
49,24 EIGSI 2,2,8,2026-07-02,14:34:09
50,51 Gymnase Universitaire 1,6,12,2026-07-02,14:34:09
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,14:34:09
52,38 Parc Franck Delmas,1,8,2026-07-02,14:34:09
53,53 Les Parcs,3,8,2026-07-02,14:34:09
54,52 Port de Pêche,4,10,2026-07-02,14:34:09
55,36 Eglise de La Genette,4,8,2026-07-02,14:34:09
56,109 P+R Simone Veil,7,14,2026-07-02,14:34:09
57,13 Médiathèque Michel Crépeau 2,0,8,2026-07-02,14:34:09
58,08 Vieux Port 2,9,14,2026-07-02,14:34:09
59,47 Institut Confucius de Chine,12,12,2026-07-02,14:34:09
60,20 Faculté de Sciences 3,3,10,2026-07-02,14:34:09
61,59 Place de Lafond,5,9,2026-07-02,14:34:09
62,03 Arsenal 2,3,8,2026-07-02,14:34:09
63,02 Quai valin 2,5,8,2026-07-02,14:34:09
64,14 Bibliothèque Universitaire 2,2,10,2026-07-02,14:34:09
65,21 Technoforum 3,6,8,2026-07-02,14:34:09
66,09 Office de Tourisme (Gabut) 2,8,10,2026-07-02,14:34:09
67,06 Maison de la Mobilité 2,3,10,2026-07-02,14:34:09
68,24 Plage des Minimes 3,0,8,2026-07-02,14:34:09
69,51 Gymnase Universitaire 2,2,8,2026-07-02,14:34:09
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-02,14:34:09
71,25 IUT 3,3,8,2026-07-02,14:34:09
72,57 Marché de la Pallice,2,8,2026-07-02,14:34:09
73,58 Digue du Bout Blanc,8,12,2026-07-02,14:34:09
74,61 Patte d'Oie,7,10,2026-07-02,14:34:09
75,62 Aquarium 2,2,10,2026-07-02,14:34:09
76,62 Aquarium 1,6,8,2026-07-02,14:34:09
77,63 08 mai 1945,7,14,2026-07-02,14:34:09
78,64 Aéroport,4,8,2026-07-02,14:34:09
79,65 Alstom,11,14,2026-07-02,14:34:09
80,66 Auberge de Jeunesse,3,10,2026-07-02,14:34:09
81,67 Beauregard,3,14,2026-07-02,14:34:09
82,68 Centre Commercial Beaulieu,5,10,2026-07-02,14:34:09
83,69 Centre social vent des lles,5,8,2026-07-02,14:34:09
84,70 Clinique de l'Atlantique,5,8,2026-07-02,14:34:09
85,71 Clos Margat,5,8,2026-07-02,14:34:09
86,72 Stade de Périgny,4,6,2026-07-02,14:34:09
87,73 Denfert Rochereau,4,8,2026-07-02,14:34:09
88,77 Gare d'Aytré,3,8,2026-07-02,14:34:09
89,56 Hôpital St Louis,3,10,2026-07-02,14:34:09
90,79 Les Corsaires,4,8,2026-07-02,14:34:09
91,80 La Pommeraie,6,8,2026-07-02,14:34:09
92,81 Lab Intech,7,10,2026-07-02,14:34:09
93,82 Lieutenant Bernier,4,8,2026-07-02,14:34:09
94,83 Lycée Hotelier,1,8,2026-07-02,14:34:09
95,84 Mairie d'Aytré,1,8,2026-07-02,14:34:09
96,85 Mairie de Lagord,4,8,2026-07-02,14:34:09
97,86 Musée Maritime,5,8,2026-07-02,14:34:09
98,87 Normandin,4,8,2026-07-02,14:34:09
99,88 Oiseaux de Mer,4,8,2026-07-02,14:34:09
100,90 Porte Royale,6,8,2026-07-02,14:34:09
