Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-01,20:15:02
2,10 Porte Maubec,5,8,2026-07-01,20:15:02
3,11 Porte Dauphine,4,8,2026-07-01,20:15:02
4,20 Faculté de Sciences 2,5,10,2026-07-01,20:15:02
5,05 Place de Verdun,1,8,2026-07-01,20:15:02
6,26 Maison de la Charente-Maritime,7,10,2026-07-01,20:15:02
7,04 Marché,2,8,2026-07-01,20:15:02
8,16 Gare 2,6,14,2026-07-01,20:15:02
9,06 Maison de la Mobilité 1,10,10,2026-07-01,20:15:02
10,08 Vieux Port 1,11,14,2026-07-01,20:15:02
11,03 Arsenal 1,5,8,2026-07-01,20:15:02
12,21 Technoforum 1,2,8,2026-07-01,20:15:02
13,15 Office de tourisme (Simenon) 2,4,8,2026-07-01,20:15:02
14,24 EIGSI 1,2,8,2026-07-01,20:15:02
15,13 Médiathèque Michel Crépeau 1,3,8,2026-07-01,20:15:02
16,16 Gare 1,1,14,2026-07-01,20:15:02
17,22 Porte de Cougnes,3,10,2026-07-01,20:15:02
18,14 Bibliothèque Universitaire 1,0,14,2026-07-01,20:15:02
19,07 Préfecture,4,10,2026-07-01,20:15:02
20,25 IUT 2,1,8,2026-07-01,20:15:02
21,02 Quai Valin 1,2,8,2026-07-01,20:15:02
22,23 Place Cacaud 1,0,6,2026-07-01,20:15:02
23,25 IUT 1,3,8,2026-07-01,20:15:02
24,20 Plage des Minimes 4,0,10,2026-07-01,20:15:02
25,12 Piscine,4,10,2026-07-01,20:15:02
26,09 Office de Tourisme (Gabut) 1,4,10,2026-07-01,20:15:02
27,60 Commissariat,2,8,2026-07-01,20:15:02
28,104 Office de Tourisme de Châtelaillon,6,8,2026-07-01,20:15:02
29,108 Vaucanson,5,14,2026-07-01,20:15:02
30,28 Maison du Port La Pallice,3,8,2026-07-01,20:15:02
31,29 Mairie Annexe de Laleu,8,8,2026-07-01,20:15:02
32,30 Ludothèque de Mireuil,1,8,2026-07-01,20:15:02
33,31 Mairie Annexe de Mireuil,7,10,2026-07-01,20:15:02
34,32 Place St Maurice,3,10,2026-07-01,20:15:02
35,33 Marché de Port Neuf,4,8,2026-07-01,20:15:02
36,34 Maison de l'Emploi,4,8,2026-07-01,20:15:02
37,37 Plage de la Concurrence 1,9,10,2026-07-01,20:15:02
38,37 Plage de la Concurrence 2,6,10,2026-07-01,20:15:02
39,39 Lycée Vieljeux,3,10,2026-07-01,20:15:02
40,40 Cité Administrative Mangin,9,10,2026-07-01,20:15:02
41,42 LEP de Rompsay,6,12,2026-07-01,20:15:02
42,43 Mairie Annexe de Villeneuve,6,8,2026-07-01,20:15:02
43,44 Centre Cial. de Villeneuve,5,8,2026-07-01,20:15:02
44,45 Parking Jean-Moulin,6,14,2026-07-01,20:15:02
45,46 Eglise de Tasdon,2,8,2026-07-01,20:15:02
46,21 Technoforum 2,2,8,2026-07-01,20:15:02
47,48 Plage des Minimes 1,7,10,2026-07-01,20:15:02
48,48 Plage des Minimes 2,2,6,2026-07-01,20:15:02
49,24 EIGSI 2,3,8,2026-07-01,20:15:02
50,51 Gymnase Universitaire 1,8,12,2026-07-01,20:15:02
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,20:15:02
52,38 Parc Franck Delmas,4,8,2026-07-01,20:15:02
53,53 Les Parcs,8,8,2026-07-01,20:15:02
54,52 Port de Pêche,5,10,2026-07-01,20:15:02
55,36 Eglise de La Genette,4,8,2026-07-01,20:15:02
