Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,5,8,2026-07-02,08:07:28
2,10 Porte Maubec,2,8,2026-07-02,08:07:28
3,11 Porte Dauphine,4,8,2026-07-02,08:07:28
4,20 Faculté de Sciences 2,7,10,2026-07-02,08:07:28
5,05 Place de Verdun,5,8,2026-07-02,08:07:28
6,26 Maison de la Charente-Maritime,4,10,2026-07-02,08:07:28
7,04 Marché,1,8,2026-07-02,08:07:28
8,16 Gare 2,11,14,2026-07-02,08:07:28
9,06 Maison de la Mobilité 1,5,10,2026-07-02,08:07:28
10,08 Vieux Port 1,0,14,2026-07-02,08:07:28
11,03 Arsenal 1,4,8,2026-07-02,08:07:28
12,21 Technoforum 1,1,8,2026-07-02,08:07:28
13,15 Office de tourisme (Simenon) 2,0,8,2026-07-02,08:07:28
14,24 EIGSI 1,4,8,2026-07-02,08:07:28
15,13 Médiathèque Michel Crépeau 1,5,8,2026-07-02,08:07:28
16,16 Gare 1,1,14,2026-07-02,08:07:28
17,22 Porte de Cougnes,7,10,2026-07-02,08:07:28
18,14 Bibliothèque Universitaire 1,0,14,2026-07-02,08:07:28
19,07 Préfecture,3,10,2026-07-02,08:07:28
20,25 IUT 2,7,8,2026-07-02,08:07:28
21,02 Quai Valin 1,3,8,2026-07-02,08:07:28
22,23 Place Cacaud 1,2,6,2026-07-02,08:07:28
23,25 IUT 1,6,8,2026-07-02,08:07:28
24,20 Plage des Minimes 4,0,10,2026-07-02,08:07:28
25,12 Piscine,5,10,2026-07-02,08:07:28
26,09 Office de Tourisme (Gabut) 1,6,10,2026-07-02,08:07:28
27,60 Commissariat,2,8,2026-07-02,08:07:28
28,104 Office de Tourisme de Châtelaillon,7,8,2026-07-02,08:07:28
29,108 Vaucanson,3,14,2026-07-02,08:07:28
30,28 Maison du Port La Pallice,4,8,2026-07-02,08:07:28
31,29 Mairie Annexe de Laleu,4,8,2026-07-02,08:07:28
32,30 Ludothèque de Mireuil,7,8,2026-07-02,08:07:28
33,31 Mairie Annexe de Mireuil,4,10,2026-07-02,08:07:28
34,32 Place St Maurice,7,10,2026-07-02,08:07:28
35,33 Marché de Port Neuf,3,8,2026-07-02,08:07:28
36,34 Maison de l'Emploi,5,8,2026-07-02,08:07:28
37,37 Plage de la Concurrence 1,2,10,2026-07-02,08:07:28
38,37 Plage de la Concurrence 2,2,10,2026-07-02,08:07:28
39,39 Lycée Vieljeux,3,10,2026-07-02,08:07:28
40,40 Cité Administrative Mangin,6,10,2026-07-02,08:07:28
41,42 LEP de Rompsay,7,12,2026-07-02,08:07:28
42,43 Mairie Annexe de Villeneuve,4,8,2026-07-02,08:07:28
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,08:07:28
44,45 Parking Jean-Moulin,6,14,2026-07-02,08:07:28
45,46 Eglise de Tasdon,4,8,2026-07-02,08:07:28
46,21 Technoforum 2,2,8,2026-07-02,08:07:28
47,48 Plage des Minimes 1,6,10,2026-07-02,08:07:28
48,48 Plage des Minimes 2,1,6,2026-07-02,08:07:28
49,24 EIGSI 2,1,8,2026-07-02,08:07:28
50,51 Gymnase Universitaire 1,8,12,2026-07-02,08:07:28
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,08:07:28
52,38 Parc Franck Delmas,4,8,2026-07-02,08:07:28
53,53 Les Parcs,6,8,2026-07-02,08:07:28
54,52 Port de Pêche,4,10,2026-07-02,08:07:28
55,36 Eglise de La Genette,4,8,2026-07-02,08:07:28
56,109 P+R Simone Veil,5,14,2026-07-02,08:07:28
57,13 Médiathèque Michel Crépeau 2,2,8,2026-07-02,08:07:28
58,08 Vieux Port 2,0,14,2026-07-02,08:07:28
59,47 Institut Confucius de Chine,5,12,2026-07-02,08:07:28
60,20 Faculté de Sciences 3,4,10,2026-07-02,08:07:28
61,59 Place de Lafond,4,9,2026-07-02,08:07:28
62,03 Arsenal 2,3,8,2026-07-02,08:07:28
63,02 Quai valin 2,4,8,2026-07-02,08:07:28
64,14 Bibliothèque Universitaire 2,1,10,2026-07-02,08:07:28
65,21 Technoforum 3,5,8,2026-07-02,08:07:28
66,09 Office de Tourisme (Gabut) 2,3,10,2026-07-02,08:07:28
67,06 Maison de la Mobilité 2,2,10,2026-07-02,08:07:28
68,24 Plage des Minimes 3,0,8,2026-07-02,08:07:28
69,51 Gymnase Universitaire 2,3,8,2026-07-02,08:07:28
70,15 Office de tourisme (Simenon) 1,2,12,2026-07-02,08:07:28
71,25 IUT 3,3,8,2026-07-02,08:07:28
72,57 Marché de la Pallice,4,8,2026-07-02,08:07:28
73,58 Digue du Bout Blanc,5,12,2026-07-02,08:07:28
74,61 Patte d'Oie,8,10,2026-07-02,08:07:28
75,62 Aquarium 2,0,10,2026-07-02,08:07:28
76,62 Aquarium 1,6,8,2026-07-02,08:07:28
77,63 08 mai 1945,7,14,2026-07-02,08:07:28
78,64 Aéroport,3,8,2026-07-02,08:07:28
79,65 Alstom,5,14,2026-07-02,08:07:28
80,66 Auberge de Jeunesse,5,10,2026-07-02,08:07:28
