Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,14:26:42
2,10 Porte Maubec,6,8,2026-07-01,14:26:42
3,11 Porte Dauphine,4,8,2026-07-01,14:26:42
4,20 Faculté de Sciences 2,8,10,2026-07-01,14:26:42
5,05 Place de Verdun,8,8,2026-07-01,14:26:42
6,26 Maison de la Charente-Maritime,4,10,2026-07-01,14:26:42
7,04 Marché,3,8,2026-07-01,14:26:42
8,16 Gare 2,1,14,2026-07-01,14:26:42
9,06 Maison de la Mobilité 1,5,10,2026-07-01,14:26:42
10,08 Vieux Port 1,14,14,2026-07-01,14:26:42
11,03 Arsenal 1,3,8,2026-07-01,14:26:42
12,21 Technoforum 1,1,8,2026-07-01,14:26:42
13,15 Office de tourisme (Simenon) 2,7,8,2026-07-01,14:26:42
14,24 EIGSI 1,2,8,2026-07-01,14:26:42
15,13 Médiathèque Michel Crépeau 1,3,8,2026-07-01,14:26:42
16,16 Gare 1,5,14,2026-07-01,14:26:42
17,22 Porte de Cougnes,3,10,2026-07-01,14:26:42
18,14 Bibliothèque Universitaire 1,4,14,2026-07-01,14:26:42
19,07 Préfecture,7,10,2026-07-01,14:26:42
20,25 IUT 2,3,8,2026-07-01,14:26:42
21,02 Quai Valin 1,5,8,2026-07-01,14:26:42
22,23 Place Cacaud 1,5,6,2026-07-01,14:26:42
23,25 IUT 1,1,8,2026-07-01,14:26:42
24,20 Plage des Minimes 4,0,10,2026-07-01,14:26:42
25,12 Piscine,4,10,2026-07-01,14:26:42
26,09 Office de Tourisme (Gabut) 1,6,10,2026-07-01,14:26:42
27,60 Commissariat,4,8,2026-07-01,14:26:42
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,14:26:42
29,108 Vaucanson,6,14,2026-07-01,14:26:42
30,28 Maison du Port La Pallice,5,8,2026-07-01,14:26:42
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,14:26:42
32,30 Ludothèque de Mireuil,3,8,2026-07-01,14:26:42
33,31 Mairie Annexe de Mireuil,7,10,2026-07-01,14:26:42
34,32 Place St Maurice,6,10,2026-07-01,14:26:42
35,33 Marché de Port Neuf,4,8,2026-07-01,14:26:42
36,34 Maison de l'Emploi,3,8,2026-07-01,14:26:42
37,37 Plage de la Concurrence 1,7,10,2026-07-01,14:26:42
38,37 Plage de la Concurrence 2,4,10,2026-07-01,14:26:42
39,39 Lycée Vieljeux,3,10,2026-07-01,14:26:42
40,40 Cité Administrative Mangin,6,10,2026-07-01,14:26:42
41,42 LEP de Rompsay,5,12,2026-07-01,14:26:42
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-01,14:26:42
43,44 Centre Cial. de Villeneuve,4,8,2026-07-01,14:26:42
44,45 Parking Jean-Moulin,8,14,2026-07-01,14:26:42
45,46 Eglise de Tasdon,3,8,2026-07-01,14:26:42
46,21 Technoforum 2,2,8,2026-07-01,14:26:42
47,48 Plage des Minimes 1,1,10,2026-07-01,14:26:42
48,48 Plage des Minimes 2,1,6,2026-07-01,14:26:42
49,24 EIGSI 2,4,8,2026-07-01,14:26:42
50,51 Gymnase Universitaire 1,5,12,2026-07-01,14:26:42
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,14:26:42
52,38 Parc Franck Delmas,4,8,2026-07-01,14:26:42
53,53 Les Parcs,2,8,2026-07-01,14:26:42
54,52 Port de Pêche,5,10,2026-07-01,14:26:42
55,36 Eglise de La Genette,5,8,2026-07-01,14:26:42
56,109 P+R Simone Veil,4,14,2026-07-01,14:26:42
57,13 Médiathèque Michel Crépeau 2,5,8,2026-07-01,14:26:42
58,08 Vieux Port 2,14,14,2026-07-01,14:26:42
59,47 Institut Confucius de Chine,4,12,2026-07-01,14:26:42
60,20 Faculté de Sciences 3,2,10,2026-07-01,14:26:42
61,59 Place de Lafond,3,9,2026-07-01,14:26:42
62,03 Arsenal 2,2,8,2026-07-01,14:26:42
63,02 Quai valin 2,0,8,2026-07-01,14:26:42
64,14 Bibliothèque Universitaire 2,2,10,2026-07-01,14:26:42
65,21 Technoforum 3,5,8,2026-07-01,14:26:42
66,09 Office de Tourisme (Gabut) 2,2,10,2026-07-01,14:26:42
67,06 Maison de la Mobilité 2,2,10,2026-07-01,14:26:42
68,24 Plage des Minimes 3,0,8,2026-07-01,14:26:42
69,51 Gymnase Universitaire 2,2,8,2026-07-01,14:26:42
70,15 Office de tourisme (Simenon) 1,6,12,2026-07-01,14:26:42
71,25 IUT 3,3,8,2026-07-01,14:26:42
72,57 Marché de la Pallice,5,8,2026-07-01,14:26:42
73,58 Digue du Bout Blanc,8,12,2026-07-01,14:26:42
74,61 Patte d'Oie,4,10,2026-07-01,14:26:42
75,62 Aquarium 2,3,10,2026-07-01,14:26:42
76,62 Aquarium 1,3,8,2026-07-01,14:26:42
77,63 08 mai 1945,4,14,2026-07-01,14:26:42
78,64 Aéroport,2,8,2026-07-01,14:26:42
79,65 Alstom,9,14,2026-07-01,14:26:42
80,66 Auberge de Jeunesse,5,10,2026-07-01,14:26:42
81,67 Beauregard,11,14,2026-07-01,14:26:42
82,68 Centre Commercial Beaulieu,8,10,2026-07-01,14:26:42
83,69 Centre social vent des lles,4,8,2026-07-01,14:26:42
84,70 Clinique de l'Atlantique,4,8,2026-07-01,14:26:42
