Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-03,10:54:53
2,10 Porte Maubec,4,8,2026-07-03,10:54:53
3,11 Porte Dauphine,3,8,2026-07-03,10:54:53
4,20 Faculté de Sciences 2,6,10,2026-07-03,10:54:53
5,05 Place de Verdun,6,8,2026-07-03,10:54:53
6,26 Maison de la Charente-Maritime,6,10,2026-07-03,10:54:53
7,04 Marché,1,8,2026-07-03,10:54:53
8,16 Gare 2,5,14,2026-07-03,10:54:53
9,06 Maison de la Mobilité 1,5,10,2026-07-03,10:54:53
10,08 Vieux Port 1,5,14,2026-07-03,10:54:53
11,03 Arsenal 1,4,8,2026-07-03,10:54:53
12,21 Technoforum 1,0,8,2026-07-03,10:54:53
13,15 Office de tourisme (Simenon) 2,3,8,2026-07-03,10:54:53
14,24 EIGSI 1,3,8,2026-07-03,10:54:53
15,13 Médiathèque Michel Crépeau 1,6,8,2026-07-03,10:54:53
16,16 Gare 1,1,14,2026-07-03,10:54:53
17,22 Porte de Cougnes,6,10,2026-07-03,10:54:53
18,14 Bibliothèque Universitaire 1,1,14,2026-07-03,10:54:53
19,07 Préfecture,5,10,2026-07-03,10:54:53
20,25 IUT 2,3,8,2026-07-03,10:54:53
21,02 Quai Valin 1,8,8,2026-07-03,10:54:53
22,23 Place Cacaud 1,1,6,2026-07-03,10:54:53
23,25 IUT 1,2,8,2026-07-03,10:54:53
24,20 Plage des Minimes 4,0,10,2026-07-03,10:54:53
25,12 Piscine,7,10,2026-07-03,10:54:53
26,09 Office de Tourisme (Gabut) 1,1,10,2026-07-03,10:54:53
27,60 Commissariat,2,8,2026-07-03,10:54:53
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-03,10:54:53
29,108 Vaucanson,6,14,2026-07-03,10:54:53
30,28 Maison du Port La Pallice,4,8,2026-07-03,10:54:53
31,29 Mairie Annexe de Laleu,4,8,2026-07-03,10:54:53
32,30 Ludothèque de Mireuil,2,8,2026-07-03,10:54:53
33,31 Mairie Annexe de Mireuil,5,10,2026-07-03,10:54:53
34,32 Place St Maurice,4,10,2026-07-03,10:54:53
35,33 Marché de Port Neuf,4,8,2026-07-03,10:54:53
36,34 Maison de l'Emploi,4,8,2026-07-03,10:54:53
37,37 Plage de la Concurrence 1,5,10,2026-07-03,10:54:53
38,37 Plage de la Concurrence 2,3,10,2026-07-03,10:54:53
39,39 Lycée Vieljeux,5,10,2026-07-03,10:54:53
40,40 Cité Administrative Mangin,4,10,2026-07-03,10:54:53
41,42 LEP de Rompsay,7,12,2026-07-03,10:54:53
42,43 Mairie Annexe de Villeneuve,4,8,2026-07-03,10:54:53
43,44 Centre Cial. de Villeneuve,4,8,2026-07-03,10:54:53
