Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-01,19:14:30
2,10 Porte Maubec,5,8,2026-07-01,19:14:30
3,11 Porte Dauphine,4,8,2026-07-01,19:14:30
4,20 Faculté de Sciences 2,6,10,2026-07-01,19:14:30
5,05 Place de Verdun,3,8,2026-07-01,19:14:30
6,26 Maison de la Charente-Maritime,5,10,2026-07-01,19:14:30
7,04 Marché,4,8,2026-07-01,19:14:30
8,16 Gare 2,7,14,2026-07-01,19:14:30
9,06 Maison de la Mobilité 1,8,10,2026-07-01,19:14:30
10,08 Vieux Port 1,7,14,2026-07-01,19:14:30
11,03 Arsenal 1,4,8,2026-07-01,19:14:30
12,21 Technoforum 1,2,8,2026-07-01,19:14:30
13,15 Office de tourisme (Simenon) 2,4,8,2026-07-01,19:14:30
14,24 EIGSI 1,2,8,2026-07-01,19:14:30
15,13 Médiathèque Michel Crépeau 1,2,8,2026-07-01,19:14:30
16,16 Gare 1,4,14,2026-07-01,19:14:30
17,22 Porte de Cougnes,5,10,2026-07-01,19:14:30
18,14 Bibliothèque Universitaire 1,3,14,2026-07-01,19:14:30
19,07 Préfecture,4,10,2026-07-01,19:14:30
20,25 IUT 2,3,8,2026-07-01,19:14:30
21,02 Quai Valin 1,3,8,2026-07-01,19:14:30
22,23 Place Cacaud 1,1,6,2026-07-01,19:14:30
23,25 IUT 1,2,8,2026-07-01,19:14:30
24,20 Plage des Minimes 4,0,10,2026-07-01,19:14:30
25,12 Piscine,4,10,2026-07-01,19:14:30
26,09 Office de Tourisme (Gabut) 1,8,10,2026-07-01,19:14:30
27,60 Commissariat,2,8,2026-07-01,19:14:30
28,104 Office de Tourisme de Châtelaillon,0,8,2026-07-01,19:14:30
29,108 Vaucanson,4,14,2026-07-01,19:14:30
30,28 Maison du Port La Pallice,3,8,2026-07-01,19:14:30
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,19:14:30
32,30 Ludothèque de Mireuil,3,8,2026-07-01,19:14:30
33,31 Mairie Annexe de Mireuil,7,10,2026-07-01,19:14:30
34,32 Place St Maurice,2,10,2026-07-01,19:14:30
35,33 Marché de Port Neuf,5,8,2026-07-01,19:14:30
36,34 Maison de l'Emploi,4,8,2026-07-01,19:14:30
37,37 Plage de la Concurrence 1,8,10,2026-07-01,19:14:30
38,37 Plage de la Concurrence 2,7,10,2026-07-01,19:14:30
39,39 Lycée Vieljeux,3,10,2026-07-01,19:14:30
40,40 Cité Administrative Mangin,9,10,2026-07-01,19:14:30
41,42 LEP de Rompsay,5,12,2026-07-01,19:14:30
42,43 Mairie Annexe de Villeneuve,6,8,2026-07-01,19:14:30
43,44 Centre Cial. de Villeneuve,5,8,2026-07-01,19:14:30
44,45 Parking Jean-Moulin,6,14,2026-07-01,19:14:30
45,46 Eglise de Tasdon,2,8,2026-07-01,19:14:30
46,21 Technoforum 2,2,8,2026-07-01,19:14:30
47,48 Plage des Minimes 1,7,10,2026-07-01,19:14:30
48,48 Plage des Minimes 2,1,6,2026-07-01,19:14:30
49,24 EIGSI 2,2,8,2026-07-01,19:14:30
50,51 Gymnase Universitaire 1,8,12,2026-07-01,19:14:30
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,19:14:30
52,38 Parc Franck Delmas,4,8,2026-07-01,19:14:30
53,53 Les Parcs,6,8,2026-07-01,19:14:30
54,52 Port de Pêche,5,10,2026-07-01,19:14:30
55,36 Eglise de La Genette,4,8,2026-07-01,19:14:30
56,109 P+R Simone Veil,4,14,2026-07-01,19:14:30
57,13 Médiathèque Michel Crépeau 2,6,8,2026-07-01,19:14:30
58,08 Vieux Port 2,13,14,2026-07-01,19:14:30
59,47 Institut Confucius de Chine,4,12,2026-07-01,19:14:30
60,20 Faculté de Sciences 3,2,10,2026-07-01,19:14:30
61,59 Place de Lafond,4,9,2026-07-01,19:14:30
62,03 Arsenal 2,4,8,2026-07-01,19:14:30
63,02 Quai valin 2,0,8,2026-07-01,19:14:30
64,14 Bibliothèque Universitaire 2,2,10,2026-07-01,19:14:30
65,21 Technoforum 3,4,8,2026-07-01,19:14:30
66,09 Office de Tourisme (Gabut) 2,7,10,2026-07-01,19:14:30
67,06 Maison de la Mobilité 2,6,10,2026-07-01,19:14:30
68,24 Plage des Minimes 3,1,8,2026-07-01,19:14:30
69,51 Gymnase Universitaire 2,2,8,2026-07-01,19:14:30
70,15 Office de tourisme (Simenon) 1,4,12,2026-07-01,19:14:30
71,25 IUT 3,1,8,2026-07-01,19:14:30
72,57 Marché de la Pallice,5,8,2026-07-01,19:14:30
73,58 Digue du Bout Blanc,8,12,2026-07-01,19:14:30
74,61 Patte d'Oie,7,10,2026-07-01,19:14:30
75,62 Aquarium 2,1,10,2026-07-01,19:14:30
76,62 Aquarium 1,2,8,2026-07-01,19:14:30
77,63 08 mai 1945,1,14,2026-07-01,19:14:30
78,64 Aéroport,3,8,2026-07-01,19:14:30
79,65 Alstom,3,14,2026-07-01,19:14:30
80,66 Auberge de Jeunesse,8,10,2026-07-01,19:14:30
81,67 Beauregard,8,14,2026-07-01,19:14:30
82,68 Centre Commercial Beaulieu,7,10,2026-07-01,19:14:30
83,69 Centre social vent des lles,4,8,2026-07-01,19:14:30
84,70 Clinique de l'Atlantique,5,8,2026-07-01,19:14:30
85,71 Clos Margat,4,8,2026-07-01,19:14:30
86,72 Stade de Périgny,3,6,2026-07-01,19:14:30
87,73 Denfert Rochereau,4,8,2026-07-01,19:14:30
88,77 Gare d'Aytré,3,8,2026-07-01,19:14:30
89,56 Hôpital St Louis,5,10,2026-07-01,19:14:30
90,79 Les Corsaires,4,8,2026-07-01,19:14:30
91,80 La Pommeraie,5,8,2026-07-01,19:14:30
92,81 Lab Intech,3,10,2026-07-01,19:14:30
93,82 Lieutenant Bernier,4,8,2026-07-01,19:14:30
94,83 Lycée Hotelier,1,8,2026-07-01,19:14:30
95,84 Mairie d'Aytré,2,8,2026-07-01,19:14:30
96,85 Mairie de Lagord,2,8,2026-07-01,19:14:30
97,86 Musée Maritime,2,8,2026-07-01,19:14:30
98,87 Normandin,4,8,2026-07-01,19:14:30
99,88 Oiseaux de Mer,4,8,2026-07-01,19:14:30
100,90 Porte Royale,6,8,2026-07-01,19:14:30
