Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-02,20:07:15
2,10 Porte Maubec,6,8,2026-07-02,20:07:15
3,11 Porte Dauphine,4,8,2026-07-02,20:07:15
4,20 Faculté de Sciences 2,1,10,2026-07-02,20:07:15
5,05 Place de Verdun,4,8,2026-07-02,20:07:15
6,26 Maison de la Charente-Maritime,2,10,2026-07-02,20:07:15
7,04 Marché,4,8,2026-07-02,20:07:15
8,16 Gare 2,12,14,2026-07-02,20:07:15
9,06 Maison de la Mobilité 1,5,10,2026-07-02,20:07:15
10,08 Vieux Port 1,14,14,2026-07-02,20:07:15
11,03 Arsenal 1,6,8,2026-07-02,20:07:15
12,21 Technoforum 1,4,8,2026-07-02,20:07:15
13,15 Office de tourisme (Simenon) 2,1,8,2026-07-02,20:07:15
14,24 EIGSI 1,3,8,2026-07-02,20:07:15
15,13 Médiathèque Michel Crépeau 1,4,8,2026-07-02,20:07:15
16,16 Gare 1,7,14,2026-07-02,20:07:15
17,22 Porte de Cougnes,9,10,2026-07-02,20:07:15
18,14 Bibliothèque Universitaire 1,3,14,2026-07-02,20:07:15
19,07 Préfecture,10,10,2026-07-02,20:07:15
20,25 IUT 2,1,8,2026-07-02,20:07:15
21,02 Quai Valin 1,4,8,2026-07-02,20:07:15
22,23 Place Cacaud 1,2,6,2026-07-02,20:07:15
23,25 IUT 1,0,8,2026-07-02,20:07:15
24,20 Plage des Minimes 4,0,10,2026-07-02,20:07:15
25,12 Piscine,4,10,2026-07-02,20:07:15
26,09 Office de Tourisme (Gabut) 1,5,10,2026-07-02,20:07:15
27,60 Commissariat,4,8,2026-07-02,20:07:15
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,20:07:15
29,108 Vaucanson,6,14,2026-07-02,20:07:15
30,28 Maison du Port La Pallice,5,8,2026-07-02,20:07:15
31,29 Mairie Annexe de Laleu,3,8,2026-07-02,20:07:15
32,30 Ludothèque de Mireuil,2,8,2026-07-02,20:07:15
33,31 Mairie Annexe de Mireuil,6,10,2026-07-02,20:07:15
34,32 Place St Maurice,3,10,2026-07-02,20:07:15
35,33 Marché de Port Neuf,5,8,2026-07-02,20:07:15
36,34 Maison de l'Emploi,3,8,2026-07-02,20:07:15
37,37 Plage de la Concurrence 1,8,10,2026-07-02,20:07:15
38,37 Plage de la Concurrence 2,5,10,2026-07-02,20:07:15
39,39 Lycée Vieljeux,4,10,2026-07-02,20:07:15
40,40 Cité Administrative Mangin,4,10,2026-07-02,20:07:15
41,42 LEP de Rompsay,4,12,2026-07-02,20:07:15
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-02,20:07:15
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,20:07:15
44,45 Parking Jean-Moulin,5,14,2026-07-02,20:07:15
45,46 Eglise de Tasdon,1,8,2026-07-02,20:07:15
46,21 Technoforum 2,5,8,2026-07-02,20:07:15
47,48 Plage des Minimes 1,3,10,2026-07-02,20:07:15
48,48 Plage des Minimes 2,1,6,2026-07-02,20:07:15
49,24 EIGSI 2,2,8,2026-07-02,20:07:15
50,51 Gymnase Universitaire 1,9,12,2026-07-02,20:07:15
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,20:07:15
52,38 Parc Franck Delmas,3,8,2026-07-02,20:07:15
53,53 Les Parcs,3,8,2026-07-02,20:07:15
54,52 Port de Pêche,4,10,2026-07-02,20:07:15
55,36 Eglise de La Genette,3,8,2026-07-02,20:07:15
56,109 P+R Simone Veil,8,14,2026-07-02,20:07:15
57,13 Médiathèque Michel Crépeau 2,0,8,2026-07-02,20:07:15
58,08 Vieux Port 2,14,14,2026-07-02,20:07:15
59,47 Institut Confucius de Chine,5,12,2026-07-02,20:07:15
60,20 Faculté de Sciences 3,1,10,2026-07-02,20:07:15
61,59 Place de Lafond,7,9,2026-07-02,20:07:15
62,03 Arsenal 2,2,8,2026-07-02,20:07:15
63,02 Quai valin 2,3,8,2026-07-02,20:07:15
64,14 Bibliothèque Universitaire 2,0,10,2026-07-02,20:07:15
65,21 Technoforum 3,6,8,2026-07-02,20:07:15
66,09 Office de Tourisme (Gabut) 2,5,10,2026-07-02,20:07:15
67,06 Maison de la Mobilité 2,3,10,2026-07-02,20:07:15
68,24 Plage des Minimes 3,0,8,2026-07-02,20:07:15
69,51 Gymnase Universitaire 2,2,8,2026-07-02,20:07:15
70,15 Office de tourisme (Simenon) 1,4,12,2026-07-02,20:07:15
71,25 IUT 3,2,8,2026-07-02,20:07:15
72,57 Marché de la Pallice,4,8,2026-07-02,20:07:15
73,58 Digue du Bout Blanc,7,12,2026-07-02,20:07:15
74,61 Patte d'Oie,5,10,2026-07-02,20:07:15
