Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,6,8,2026-07-02,19:36:58
2,10 Porte Maubec,4,8,2026-07-02,19:36:58
3,11 Porte Dauphine,4,8,2026-07-02,19:36:58
4,20 Faculté de Sciences 2,1,10,2026-07-02,19:36:58
5,05 Place de Verdun,2,8,2026-07-02,19:36:58
6,26 Maison de la Charente-Maritime,2,10,2026-07-02,19:36:58
7,04 Marché,4,8,2026-07-02,19:36:58
8,16 Gare 2,12,14,2026-07-02,19:36:58
9,06 Maison de la Mobilité 1,4,10,2026-07-02,19:36:58
10,08 Vieux Port 1,13,14,2026-07-02,19:36:58
11,03 Arsenal 1,6,8,2026-07-02,19:36:58
12,21 Technoforum 1,5,8,2026-07-02,19:36:58
13,15 Office de tourisme (Simenon) 2,2,8,2026-07-02,19:36:58
14,24 EIGSI 1,3,8,2026-07-02,19:36:58
15,13 Médiathèque Michel Crépeau 1,4,8,2026-07-02,19:36:58
16,16 Gare 1,8,14,2026-07-02,19:36:58
17,22 Porte de Cougnes,9,10,2026-07-02,19:36:58
18,14 Bibliothèque Universitaire 1,4,14,2026-07-02,19:36:58
19,07 Préfecture,4,10,2026-07-02,19:36:58
20,25 IUT 2,0,8,2026-07-02,19:36:58
21,02 Quai Valin 1,0,8,2026-07-02,19:36:58
22,23 Place Cacaud 1,1,6,2026-07-02,19:36:58
23,25 IUT 1,2,8,2026-07-02,19:36:58
24,20 Plage des Minimes 4,0,10,2026-07-02,19:36:58
25,12 Piscine,4,10,2026-07-02,19:36:58
26,09 Office de Tourisme (Gabut) 1,4,10,2026-07-02,19:36:58
27,60 Commissariat,4,8,2026-07-02,19:36:58
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,19:36:58
29,108 Vaucanson,6,14,2026-07-02,19:36:58
30,28 Maison du Port La Pallice,5,8,2026-07-02,19:36:58
31,29 Mairie Annexe de Laleu,1,8,2026-07-02,19:36:58
32,30 Ludothèque de Mireuil,3,8,2026-07-02,19:36:58
33,31 Mairie Annexe de Mireuil,8,10,2026-07-02,19:36:58
34,32 Place St Maurice,3,10,2026-07-02,19:36:58
35,33 Marché de Port Neuf,5,8,2026-07-02,19:36:58
36,34 Maison de l'Emploi,3,8,2026-07-02,19:36:58
37,37 Plage de la Concurrence 1,6,10,2026-07-02,19:36:58
38,37 Plage de la Concurrence 2,5,10,2026-07-02,19:36:58
39,39 Lycée Vieljeux,4,10,2026-07-02,19:36:58
40,40 Cité Administrative Mangin,6,10,2026-07-02,19:36:58
41,42 LEP de Rompsay,6,12,2026-07-02,19:36:58
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-02,19:36:58
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,19:36:58
44,45 Parking Jean-Moulin,5,14,2026-07-02,19:36:58
45,46 Eglise de Tasdon,2,8,2026-07-02,19:36:58
46,21 Technoforum 2,7,8,2026-07-02,19:36:58
47,48 Plage des Minimes 1,3,10,2026-07-02,19:36:58
48,48 Plage des Minimes 2,0,6,2026-07-02,19:36:58
49,24 EIGSI 2,2,8,2026-07-02,19:36:58
50,51 Gymnase Universitaire 1,8,12,2026-07-02,19:36:58
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,19:36:58
52,38 Parc Franck Delmas,3,8,2026-07-02,19:36:58
53,53 Les Parcs,2,8,2026-07-02,19:36:58
54,52 Port de Pêche,4,10,2026-07-02,19:36:58
55,36 Eglise de La Genette,3,8,2026-07-02,19:36:58
56,109 P+R Simone Veil,8,14,2026-07-02,19:36:58
57,13 Médiathèque Michel Crépeau 2,0,8,2026-07-02,19:36:58
58,08 Vieux Port 2,14,14,2026-07-02,19:36:58
59,47 Institut Confucius de Chine,3,12,2026-07-02,19:36:58
60,20 Faculté de Sciences 3,2,10,2026-07-02,19:36:58
61,59 Place de Lafond,7,9,2026-07-02,19:36:58
62,03 Arsenal 2,2,8,2026-07-02,19:36:58
63,02 Quai valin 2,3,8,2026-07-02,19:36:58
64,14 Bibliothèque Universitaire 2,1,10,2026-07-02,19:36:58
65,21 Technoforum 3,6,8,2026-07-02,19:36:58
66,09 Office de Tourisme (Gabut) 2,5,10,2026-07-02,19:36:58
67,06 Maison de la Mobilité 2,3,10,2026-07-02,19:36:58
68,24 Plage des Minimes 3,0,8,2026-07-02,19:36:58
69,51 Gymnase Universitaire 2,2,8,2026-07-02,19:36:58
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-02,19:36:58
71,25 IUT 3,1,8,2026-07-02,19:36:58
72,57 Marché de la Pallice,4,8,2026-07-02,19:36:58
73,58 Digue du Bout Blanc,7,12,2026-07-02,19:36:58
74,61 Patte d'Oie,5,10,2026-07-02,19:36:58
75,62 Aquarium 2,1,10,2026-07-02,19:36:58
76,62 Aquarium 1,5,8,2026-07-02,19:36:58
77,63 08 mai 1945,5,14,2026-07-02,19:36:58
78,64 Aéroport,5,8,2026-07-02,19:36:58
79,65 Alstom,7,14,2026-07-02,19:36:58
80,66 Auberge de Jeunesse,6,10,2026-07-02,19:36:58
81,67 Beauregard,4,14,2026-07-02,19:36:58
82,68 Centre Commercial Beaulieu,0,10,2026-07-02,19:36:58
83,69 Centre social vent des lles,3,8,2026-07-02,19:36:58
84,70 Clinique de l'Atlantique,4,8,2026-07-02,19:36:58
85,71 Clos Margat,5,8,2026-07-02,19:36:58
86,72 Stade de Périgny,4,6,2026-07-02,19:36:58
87,73 Denfert Rochereau,6,8,2026-07-02,19:36:58
88,77 Gare d'Aytré,8,8,2026-07-02,19:36:58
89,56 Hôpital St Louis,3,10,2026-07-02,19:36:58
90,79 Les Corsaires,4,8,2026-07-02,19:36:58
91,80 La Pommeraie,3,8,2026-07-02,19:36:58
92,81 Lab Intech,5,10,2026-07-02,19:36:58
93,82 Lieutenant Bernier,6,8,2026-07-02,19:36:58
94,83 Lycée Hotelier,3,8,2026-07-02,19:36:58
95,84 Mairie d'Aytré,3,8,2026-07-02,19:36:58
96,85 Mairie de Lagord,5,8,2026-07-02,19:36:58
97,86 Musée Maritime,5,8,2026-07-02,19:36:58
98,87 Normandin,8,8,2026-07-02,19:36:58
99,88 Oiseaux de Mer,5,8,2026-07-02,19:36:58
100,90 Porte Royale,3,8,2026-07-02,19:36:58
