Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-06-30,16:35:43
2,10 Porte Maubec,2,8,2026-06-30,16:35:43
3,11 Porte Dauphine,4,8,2026-06-30,16:35:43
4,20 Faculté de Sciences 2,3,10,2026-06-30,16:35:43
5,05 Place de Verdun,8,8,2026-06-30,16:35:43
6,26 Maison de la Charente-Maritime,8,10,2026-06-30,16:35:43
7,04 Marché,5,8,2026-06-30,16:35:43
8,16 Gare 2,0,14,2026-06-30,16:35:43
9,06 Maison de la Mobilité 1,4,10,2026-06-30,16:35:43
10,08 Vieux Port 1,12,14,2026-06-30,16:35:43
11,03 Arsenal 1,6,8,2026-06-30,16:35:43
12,21 Technoforum 1,2,8,2026-06-30,16:35:43
13,15 Office de tourisme (Simenon) 2,4,8,2026-06-30,16:35:43
14,24 EIGSI 1,3,8,2026-06-30,16:35:43
15,13 Médiathèque Michel Crépeau 1,6,8,2026-06-30,16:35:43
16,16 Gare 1,3,14,2026-06-30,16:35:43
17,22 Porte de Cougnes,7,10,2026-06-30,16:35:43
18,14 Bibliothèque Universitaire 1,6,14,2026-06-30,16:35:43
19,07 Préfecture,4,10,2026-06-30,16:35:43
20,25 IUT 2,5,8,2026-06-30,16:35:43
21,02 Quai Valin 1,7,8,2026-06-30,16:35:43
22,23 Place Cacaud 1,3,6,2026-06-30,16:35:43
23,25 IUT 1,6,8,2026-06-30,16:35:43
24,20 Plage des Minimes 4,0,10,2026-06-30,16:35:43
25,12 Piscine,7,10,2026-06-30,16:35:43
26,09 Office de Tourisme (Gabut) 1,3,10,2026-06-30,16:35:43
27,60 Commissariat,0,8,2026-06-30,16:35:43
28,104 Office de Tourisme de Châtelaillon,1,8,2026-06-30,16:35:43
29,108 Vaucanson,7,14,2026-06-30,16:35:43
30,28 Maison du Port La Pallice,5,8,2026-06-30,16:35:43
31,29 Mairie Annexe de Laleu,3,8,2026-06-30,16:35:43
32,30 Ludothèque de Mireuil,2,8,2026-06-30,16:35:43
33,31 Mairie Annexe de Mireuil,3,10,2026-06-30,16:35:43
34,32 Place St Maurice,4,10,2026-06-30,16:35:43
35,33 Marché de Port Neuf,3,8,2026-06-30,16:35:43
36,34 Maison de l'Emploi,3,8,2026-06-30,16:35:43
37,37 Plage de la Concurrence 1,3,10,2026-06-30,16:35:43
38,37 Plage de la Concurrence 2,3,10,2026-06-30,16:35:43
39,39 Lycée Vieljeux,4,10,2026-06-30,16:35:43
40,40 Cité Administrative Mangin,7,10,2026-06-30,16:35:43
41,42 LEP de Rompsay,5,12,2026-06-30,16:35:43
42,43 Mairie Annexe de Villeneuve,4,8,2026-06-30,16:35:43
43,44 Centre Cial. de Villeneuve,3,8,2026-06-30,16:35:43
44,45 Parking Jean-Moulin,2,14,2026-06-30,16:35:43
45,46 Eglise de Tasdon,0,8,2026-06-30,16:35:43
46,21 Technoforum 2,3,8,2026-06-30,16:35:43
47,48 Plage des Minimes 1,6,10,2026-06-30,16:35:43
48,48 Plage des Minimes 2,2,6,2026-06-30,16:35:43
49,24 EIGSI 2,2,8,2026-06-30,16:35:43
50,51 Gymnase Universitaire 1,2,12,2026-06-30,16:35:43
51,102 Centre Aquatique de Châtelaillon,4,12,2026-06-30,16:35:43
52,38 Parc Franck Delmas,4,8,2026-06-30,16:35:43
53,53 Les Parcs,2,8,2026-06-30,16:35:43
54,52 Port de Pêche,4,10,2026-06-30,16:35:43
55,36 Eglise de La Genette,2,8,2026-06-30,16:35:43
56,109 P+R Simone Veil,9,14,2026-06-30,16:35:43
57,13 Médiathèque Michel Crépeau 2,6,8,2026-06-30,16:35:43
58,08 Vieux Port 2,14,14,2026-06-30,16:35:43
59,47 Institut Confucius de Chine,8,12,2026-06-30,16:35:43
60,20 Faculté de Sciences 3,8,10,2026-06-30,16:35:43
61,59 Place de Lafond,4,9,2026-06-30,16:35:43
62,03 Arsenal 2,5,8,2026-06-30,16:35:43
63,02 Quai valin 2,2,8,2026-06-30,16:35:43
64,14 Bibliothèque Universitaire 2,3,10,2026-06-30,16:35:43
