Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,5,8,2026-07-02,15:19:31
2,10 Porte Maubec,7,8,2026-07-02,15:19:31
3,11 Porte Dauphine,4,8,2026-07-02,15:19:31
4,20 Faculté de Sciences 2,2,10,2026-07-02,15:19:31
5,05 Place de Verdun,5,8,2026-07-02,15:19:31
6,26 Maison de la Charente-Maritime,3,10,2026-07-02,15:19:31
7,04 Marché,0,8,2026-07-02,15:19:31
8,16 Gare 2,14,14,2026-07-02,15:19:31
9,06 Maison de la Mobilité 1,2,10,2026-07-02,15:19:31
10,08 Vieux Port 1,6,14,2026-07-02,15:19:31
11,03 Arsenal 1,2,8,2026-07-02,15:19:31
12,21 Technoforum 1,3,8,2026-07-02,15:19:31
13,15 Office de tourisme (Simenon) 2,2,8,2026-07-02,15:19:31
14,24 EIGSI 1,1,8,2026-07-02,15:19:31
15,13 Médiathèque Michel Crépeau 1,3,8,2026-07-02,15:19:31
16,16 Gare 1,3,14,2026-07-02,15:19:31
17,22 Porte de Cougnes,5,10,2026-07-02,15:19:31
18,14 Bibliothèque Universitaire 1,6,14,2026-07-02,15:19:31
19,07 Préfecture,3,10,2026-07-02,15:19:31
20,25 IUT 2,4,8,2026-07-02,15:19:31
21,02 Quai Valin 1,5,8,2026-07-02,15:19:31
22,23 Place Cacaud 1,1,6,2026-07-02,15:19:31
23,25 IUT 1,2,8,2026-07-02,15:19:31
24,20 Plage des Minimes 4,0,10,2026-07-02,15:19:31
25,12 Piscine,4,10,2026-07-02,15:19:31
26,09 Office de Tourisme (Gabut) 1,5,10,2026-07-02,15:19:31
27,60 Commissariat,5,8,2026-07-02,15:19:31
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,15:19:31
29,108 Vaucanson,6,14,2026-07-02,15:19:31
30,28 Maison du Port La Pallice,4,8,2026-07-02,15:19:31
31,29 Mairie Annexe de Laleu,0,8,2026-07-02,15:19:31
32,30 Ludothèque de Mireuil,4,8,2026-07-02,15:19:31
33,31 Mairie Annexe de Mireuil,6,10,2026-07-02,15:19:31
34,32 Place St Maurice,5,10,2026-07-02,15:19:31
35,33 Marché de Port Neuf,3,8,2026-07-02,15:19:31
36,34 Maison de l'Emploi,4,8,2026-07-02,15:19:31
37,37 Plage de la Concurrence 1,5,10,2026-07-02,15:19:31
38,37 Plage de la Concurrence 2,1,10,2026-07-02,15:19:31
39,39 Lycée Vieljeux,5,10,2026-07-02,15:19:31
40,40 Cité Administrative Mangin,2,10,2026-07-02,15:19:31
41,42 LEP de Rompsay,8,12,2026-07-02,15:19:31
42,43 Mairie Annexe de Villeneuve,3,8,2026-07-02,15:19:31
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,15:19:31
44,45 Parking Jean-Moulin,8,14,2026-07-02,15:19:31
45,46 Eglise de Tasdon,5,8,2026-07-02,15:19:31
46,21 Technoforum 2,3,8,2026-07-02,15:19:31
47,48 Plage des Minimes 1,7,10,2026-07-02,15:19:31
48,48 Plage des Minimes 2,4,6,2026-07-02,15:19:31
49,24 EIGSI 2,2,8,2026-07-02,15:19:31
50,51 Gymnase Universitaire 1,6,12,2026-07-02,15:19:31
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,15:19:31
52,38 Parc Franck Delmas,3,8,2026-07-02,15:19:31
53,53 Les Parcs,2,8,2026-07-02,15:19:31
54,52 Port de Pêche,4,10,2026-07-02,15:19:31
55,36 Eglise de La Genette,4,8,2026-07-02,15:19:31
56,109 P+R Simone Veil,7,14,2026-07-02,15:19:31
57,13 Médiathèque Michel Crépeau 2,0,8,2026-07-02,15:19:31
58,08 Vieux Port 2,7,14,2026-07-02,15:19:31
59,47 Institut Confucius de Chine,3,12,2026-07-02,15:19:31
60,20 Faculté de Sciences 3,2,10,2026-07-02,15:19:31
61,59 Place de Lafond,3,9,2026-07-02,15:19:31
62,03 Arsenal 2,2,8,2026-07-02,15:19:31
63,02 Quai valin 2,4,8,2026-07-02,15:19:31
64,14 Bibliothèque Universitaire 2,5,10,2026-07-02,15:19:31
65,21 Technoforum 3,6,8,2026-07-02,15:19:31
66,09 Office de Tourisme (Gabut) 2,4,10,2026-07-02,15:19:31
67,06 Maison de la Mobilité 2,5,10,2026-07-02,15:19:31
68,24 Plage des Minimes 3,1,8,2026-07-02,15:19:31
69,51 Gymnase Universitaire 2,2,8,2026-07-02,15:19:31
70,15 Office de tourisme (Simenon) 1,2,12,2026-07-02,15:19:31
71,25 IUT 3,4,8,2026-07-02,15:19:31
72,57 Marché de la Pallice,4,8,2026-07-02,15:19:31
73,58 Digue du Bout Blanc,4,12,2026-07-02,15:19:31
74,61 Patte d'Oie,7,10,2026-07-02,15:19:31
75,62 Aquarium 2,2,10,2026-07-02,15:19:31
76,62 Aquarium 1,8,8,2026-07-02,15:19:31
77,63 08 mai 1945,7,14,2026-07-02,15:19:31
78,64 Aéroport,4,8,2026-07-02,15:19:31
79,65 Alstom,8,14,2026-07-02,15:19:31
80,66 Auberge de Jeunesse,4,10,2026-07-02,15:19:31
81,67 Beauregard,3,14,2026-07-02,15:19:31
82,68 Centre Commercial Beaulieu,6,10,2026-07-02,15:19:31
83,69 Centre social vent des lles,5,8,2026-07-02,15:19:31
84,70 Clinique de l'Atlantique,5,8,2026-07-02,15:19:31
85,71 Clos Margat,5,8,2026-07-02,15:19:31
86,72 Stade de Périgny,4,6,2026-07-02,15:19:31
87,73 Denfert Rochereau,4,8,2026-07-02,15:19:31
88,77 Gare d'Aytré,3,8,2026-07-02,15:19:31
89,56 Hôpital St Louis,4,10,2026-07-02,15:19:31
90,79 Les Corsaires,3,8,2026-07-02,15:19:31
91,80 La Pommeraie,6,8,2026-07-02,15:19:31
92,81 Lab Intech,7,10,2026-07-02,15:19:31
93,82 Lieutenant Bernier,5,8,2026-07-02,15:19:31
94,83 Lycée Hotelier,6,8,2026-07-02,15:19:31
95,84 Mairie d'Aytré,3,8,2026-07-02,15:19:31
96,85 Mairie de Lagord,4,8,2026-07-02,15:19:31
97,86 Musée Maritime,4,8,2026-07-02,15:19:31
98,87 Normandin,4,8,2026-07-02,15:19:31
99,88 Oiseaux de Mer,4,8,2026-07-02,15:19:31
100,90 Porte Royale,6,8,2026-07-02,15:19:31
