Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,4,8,2026-07-02,16:20:02
2,10 Porte Maubec,4,8,2026-07-02,16:20:02
3,11 Porte Dauphine,4,8,2026-07-02,16:20:02
4,20 Faculté de Sciences 2,2,10,2026-07-02,16:20:02
5,05 Place de Verdun,3,8,2026-07-02,16:20:02
6,26 Maison de la Charente-Maritime,3,10,2026-07-02,16:20:02
7,04 Marché,0,8,2026-07-02,16:20:02
8,16 Gare 2,6,14,2026-07-02,16:20:02
9,06 Maison de la Mobilité 1,3,10,2026-07-02,16:20:02
10,08 Vieux Port 1,7,14,2026-07-02,16:20:02
11,03 Arsenal 1,1,8,2026-07-02,16:20:02
12,21 Technoforum 1,3,8,2026-07-02,16:20:02
13,15 Office de tourisme (Simenon) 2,5,8,2026-07-02,16:20:02
14,24 EIGSI 1,4,8,2026-07-02,16:20:02
15,13 Médiathèque Michel Crépeau 1,1,8,2026-07-02,16:20:02
16,16 Gare 1,7,14,2026-07-02,16:20:02
17,22 Porte de Cougnes,4,10,2026-07-02,16:20:02
18,14 Bibliothèque Universitaire 1,5,14,2026-07-02,16:20:02
19,07 Préfecture,6,10,2026-07-02,16:20:02
20,25 IUT 2,2,8,2026-07-02,16:20:02
21,02 Quai Valin 1,7,8,2026-07-02,16:20:02
22,23 Place Cacaud 1,1,6,2026-07-02,16:20:02
23,25 IUT 1,4,8,2026-07-02,16:20:02
24,20 Plage des Minimes 4,0,10,2026-07-02,16:20:02
25,12 Piscine,4,10,2026-07-02,16:20:02
26,09 Office de Tourisme (Gabut) 1,3,10,2026-07-02,16:20:02
27,60 Commissariat,3,8,2026-07-02,16:20:02
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,16:20:02
29,108 Vaucanson,6,14,2026-07-02,16:20:02
30,28 Maison du Port La Pallice,5,8,2026-07-02,16:20:02
31,29 Mairie Annexe de Laleu,2,8,2026-07-02,16:20:02
32,30 Ludothèque de Mireuil,4,8,2026-07-02,16:20:02
33,31 Mairie Annexe de Mireuil,6,10,2026-07-02,16:20:02
34,32 Place St Maurice,4,10,2026-07-02,16:20:02
35,33 Marché de Port Neuf,4,8,2026-07-02,16:20:02
36,34 Maison de l'Emploi,3,8,2026-07-02,16:20:02
37,37 Plage de la Concurrence 1,6,10,2026-07-02,16:20:02
38,37 Plage de la Concurrence 2,1,10,2026-07-02,16:20:02
39,39 Lycée Vieljeux,4,10,2026-07-02,16:20:02
40,40 Cité Administrative Mangin,5,10,2026-07-02,16:20:02
41,42 LEP de Rompsay,7,12,2026-07-02,16:20:02
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-02,16:20:02
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,16:20:02
44,45 Parking Jean-Moulin,8,14,2026-07-02,16:20:02
45,46 Eglise de Tasdon,3,8,2026-07-02,16:20:02
46,21 Technoforum 2,0,8,2026-07-02,16:20:02
47,48 Plage des Minimes 1,7,10,2026-07-02,16:20:02
48,48 Plage des Minimes 2,2,6,2026-07-02,16:20:02
49,24 EIGSI 2,4,8,2026-07-02,16:20:02
50,51 Gymnase Universitaire 1,6,12,2026-07-02,16:20:02
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-02,16:20:02
52,38 Parc Franck Delmas,6,8,2026-07-02,16:20:02
53,53 Les Parcs,2,8,2026-07-02,16:20:02
54,52 Port de Pêche,4,10,2026-07-02,16:20:02
55,36 Eglise de La Genette,4,8,2026-07-02,16:20:02
56,109 P+R Simone Veil,7,14,2026-07-02,16:20:02
57,13 Médiathèque Michel Crépeau 2,1,8,2026-07-02,16:20:02
58,08 Vieux Port 2,8,14,2026-07-02,16:20:02
59,47 Institut Confucius de Chine,3,12,2026-07-02,16:20:02
60,20 Faculté de Sciences 3,1,10,2026-07-02,16:20:02
61,59 Place de Lafond,4,9,2026-07-02,16:20:02
62,03 Arsenal 2,1,8,2026-07-02,16:20:02
63,02 Quai valin 2,5,8,2026-07-02,16:20:02
64,14 Bibliothèque Universitaire 2,5,10,2026-07-02,16:20:02
65,21 Technoforum 3,6,8,2026-07-02,16:20:02
66,09 Office de Tourisme (Gabut) 2,5,10,2026-07-02,16:20:02
67,06 Maison de la Mobilité 2,2,10,2026-07-02,16:20:02
68,24 Plage des Minimes 3,1,8,2026-07-02,16:20:02
69,51 Gymnase Universitaire 2,2,8,2026-07-02,16:20:02
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-02,16:20:02
71,25 IUT 3,6,8,2026-07-02,16:20:02
72,57 Marché de la Pallice,4,8,2026-07-02,16:20:02
73,58 Digue du Bout Blanc,5,12,2026-07-02,16:20:02
