Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,13:41:21
2,10 Porte Maubec,4,8,2026-07-01,13:41:21
3,11 Porte Dauphine,4,8,2026-07-01,13:41:21
4,20 Faculté de Sciences 2,7,10,2026-07-01,13:41:21
5,05 Place de Verdun,8,8,2026-07-01,13:41:21
6,26 Maison de la Charente-Maritime,4,10,2026-07-01,13:41:21
7,04 Marché,2,8,2026-07-01,13:41:21
8,16 Gare 2,3,14,2026-07-01,13:41:21
9,06 Maison de la Mobilité 1,4,10,2026-07-01,13:41:21
10,08 Vieux Port 1,13,14,2026-07-01,13:41:21
11,03 Arsenal 1,4,8,2026-07-01,13:41:21
12,21 Technoforum 1,1,8,2026-07-01,13:41:21
13,15 Office de tourisme (Simenon) 2,8,8,2026-07-01,13:41:21
14,24 EIGSI 1,2,8,2026-07-01,13:41:21
15,13 Médiathèque Michel Crépeau 1,3,8,2026-07-01,13:41:21
16,16 Gare 1,6,14,2026-07-01,13:41:21
17,22 Porte de Cougnes,2,10,2026-07-01,13:41:21
18,14 Bibliothèque Universitaire 1,4,14,2026-07-01,13:41:21
19,07 Préfecture,5,10,2026-07-01,13:41:21
20,25 IUT 2,3,8,2026-07-01,13:41:21
21,02 Quai Valin 1,3,8,2026-07-01,13:41:21
22,23 Place Cacaud 1,5,6,2026-07-01,13:41:21
23,25 IUT 1,2,8,2026-07-01,13:41:21
24,20 Plage des Minimes 4,0,10,2026-07-01,13:41:21
25,12 Piscine,4,10,2026-07-01,13:41:21
26,09 Office de Tourisme (Gabut) 1,6,10,2026-07-01,13:41:21
27,60 Commissariat,4,8,2026-07-01,13:41:21
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,13:41:21
29,108 Vaucanson,6,14,2026-07-01,13:41:21
30,28 Maison du Port La Pallice,5,8,2026-07-01,13:41:21
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,13:41:21
32,30 Ludothèque de Mireuil,3,8,2026-07-01,13:41:21
33,31 Mairie Annexe de Mireuil,6,10,2026-07-01,13:41:21
34,32 Place St Maurice,5,10,2026-07-01,13:41:21
35,33 Marché de Port Neuf,2,8,2026-07-01,13:41:21
36,34 Maison de l'Emploi,2,8,2026-07-01,13:41:21
37,37 Plage de la Concurrence 1,6,10,2026-07-01,13:41:21
38,37 Plage de la Concurrence 2,4,10,2026-07-01,13:41:21
39,39 Lycée Vieljeux,3,10,2026-07-01,13:41:21
40,40 Cité Administrative Mangin,1,10,2026-07-01,13:41:21
41,42 LEP de Rompsay,2,12,2026-07-01,13:41:21
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-01,13:41:21
43,44 Centre Cial. de Villeneuve,3,8,2026-07-01,13:41:21
44,45 Parking Jean-Moulin,8,14,2026-07-01,13:41:21
45,46 Eglise de Tasdon,2,8,2026-07-01,13:41:21
46,21 Technoforum 2,5,8,2026-07-01,13:41:21
47,48 Plage des Minimes 1,1,10,2026-07-01,13:41:21
48,48 Plage des Minimes 2,1,6,2026-07-01,13:41:21
49,24 EIGSI 2,4,8,2026-07-01,13:41:21
50,51 Gymnase Universitaire 1,5,12,2026-07-01,13:41:21
51,102 Centre Aquatique de Châtelaillon,8,12,2026-07-01,13:41:21
52,38 Parc Franck Delmas,6,8,2026-07-01,13:41:21
53,53 Les Parcs,2,8,2026-07-01,13:41:21
54,52 Port de Pêche,5,10,2026-07-01,13:41:21
55,36 Eglise de La Genette,4,8,2026-07-01,13:41:21
56,109 P+R Simone Veil,4,14,2026-07-01,13:41:21
57,13 Médiathèque Michel Crépeau 2,5,8,2026-07-01,13:41:21
58,08 Vieux Port 2,13,14,2026-07-01,13:41:21
59,47 Institut Confucius de Chine,3,12,2026-07-01,13:41:21
60,20 Faculté de Sciences 3,3,10,2026-07-01,13:41:21
61,59 Place de Lafond,4,9,2026-07-01,13:41:21
62,03 Arsenal 2,2,8,2026-07-01,13:41:21
63,02 Quai valin 2,0,8,2026-07-01,13:41:21
64,14 Bibliothèque Universitaire 2,0,10,2026-07-01,13:41:21
65,21 Technoforum 3,5,8,2026-07-01,13:41:21
66,09 Office de Tourisme (Gabut) 2,7,10,2026-07-01,13:41:21
67,06 Maison de la Mobilité 2,2,10,2026-07-01,13:41:21
68,24 Plage des Minimes 3,0,8,2026-07-01,13:41:21
69,51 Gymnase Universitaire 2,2,8,2026-07-01,13:41:21
70,15 Office de tourisme (Simenon) 1,4,12,2026-07-01,13:41:21
71,25 IUT 3,2,8,2026-07-01,13:41:21
72,57 Marché de la Pallice,5,8,2026-07-01,13:41:21
73,58 Digue du Bout Blanc,3,12,2026-07-01,13:41:21
74,61 Patte d'Oie,1,10,2026-07-01,13:41:21
75,62 Aquarium 2,3,10,2026-07-01,13:41:21
76,62 Aquarium 1,3,8,2026-07-01,13:41:21
77,63 08 mai 1945,5,14,2026-07-01,13:41:21
78,64 Aéroport,2,8,2026-07-01,13:41:21
79,65 Alstom,8,14,2026-07-01,13:41:21
80,66 Auberge de Jeunesse,6,10,2026-07-01,13:41:21
81,67 Beauregard,11,14,2026-07-01,13:41:21
82,68 Centre Commercial Beaulieu,7,10,2026-07-01,13:41:21
83,69 Centre social vent des lles,3,8,2026-07-01,13:41:21
84,70 Clinique de l'Atlantique,4,8,2026-07-01,13:41:21
85,71 Clos Margat,5,8,2026-07-01,13:41:21
86,72 Stade de Périgny,3,6,2026-07-01,13:41:21
87,73 Denfert Rochereau,1,8,2026-07-01,13:41:21
88,77 Gare d'Aytré,3,8,2026-07-01,13:41:21
89,56 Hôpital St Louis,10,10,2026-07-01,13:41:21
90,79 Les Corsaires,5,8,2026-07-01,13:41:21
91,80 La Pommeraie,1,8,2026-07-01,13:41:21
92,81 Lab Intech,5,10,2026-07-01,13:41:21
93,82 Lieutenant Bernier,4,8,2026-07-01,13:41:21
94,83 Lycée Hotelier,5,8,2026-07-01,13:41:21
95,84 Mairie d'Aytré,3,8,2026-07-01,13:41:21
96,85 Mairie de Lagord,3,8,2026-07-01,13:41:21
97,86 Musée Maritime,4,8,2026-07-01,13:41:21
98,87 Normandin,5,8,2026-07-01,13:41:21
99,88 Oiseaux de Mer,3,8,2026-07-01,13:41:21
100,90 Porte Royale,3,8,2026-07-01,13:41:21
