Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-03,10:53:13
2,10 Porte Maubec,4,8,2026-07-03,10:53:13
3,11 Porte Dauphine,3,8,2026-07-03,10:53:13
4,20 Faculté de Sciences 2,6,10,2026-07-03,10:53:13
5,05 Place de Verdun,6,8,2026-07-03,10:53:13
6,26 Maison de la Charente-Maritime,6,10,2026-07-03,10:53:13
7,04 Marché,1,8,2026-07-03,10:53:13
8,16 Gare 2,5,14,2026-07-03,10:53:13
9,06 Maison de la Mobilité 1,5,10,2026-07-03,10:53:13
10,08 Vieux Port 1,5,14,2026-07-03,10:53:13
11,03 Arsenal 1,4,8,2026-07-03,10:53:13
12,21 Technoforum 1,0,8,2026-07-03,10:53:13
13,15 Office de tourisme (Simenon) 2,3,8,2026-07-03,10:53:13
14,24 EIGSI 1,3,8,2026-07-03,10:53:13
15,13 Médiathèque Michel Crépeau 1,6,8,2026-07-03,10:53:13
16,16 Gare 1,1,14,2026-07-03,10:53:13
17,22 Porte de Cougnes,6,10,2026-07-03,10:53:13
18,14 Bibliothèque Universitaire 1,1,14,2026-07-03,10:53:13
19,07 Préfecture,5,10,2026-07-03,10:53:13
20,25 IUT 2,3,8,2026-07-03,10:53:13
21,02 Quai Valin 1,7,8,2026-07-03,10:53:13
22,23 Place Cacaud 1,1,6,2026-07-03,10:53:13
23,25 IUT 1,2,8,2026-07-03,10:53:13
24,20 Plage des Minimes 4,0,10,2026-07-03,10:53:13
25,12 Piscine,7,10,2026-07-03,10:53:13
26,09 Office de Tourisme (Gabut) 1,1,10,2026-07-03,10:53:13
27,60 Commissariat,2,8,2026-07-03,10:53:13
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-03,10:53:13
29,108 Vaucanson,6,14,2026-07-03,10:53:13
30,28 Maison du Port La Pallice,4,8,2026-07-03,10:53:13
31,29 Mairie Annexe de Laleu,4,8,2026-07-03,10:53:13
32,30 Ludothèque de Mireuil,2,8,2026-07-03,10:53:13
33,31 Mairie Annexe de Mireuil,4,10,2026-07-03,10:53:13
34,32 Place St Maurice,5,10,2026-07-03,10:53:13
35,33 Marché de Port Neuf,4,8,2026-07-03,10:53:13
36,34 Maison de l'Emploi,4,8,2026-07-03,10:53:13
37,37 Plage de la Concurrence 1,5,10,2026-07-03,10:53:13
38,37 Plage de la Concurrence 2,3,10,2026-07-03,10:53:13
39,39 Lycée Vieljeux,5,10,2026-07-03,10:53:13
40,40 Cité Administrative Mangin,5,10,2026-07-03,10:53:13
41,42 LEP de Rompsay,7,12,2026-07-03,10:53:13
42,43 Mairie Annexe de Villeneuve,4,8,2026-07-03,10:53:13
43,44 Centre Cial. de Villeneuve,4,8,2026-07-03,10:53:13
44,45 Parking Jean-Moulin,8,14,2026-07-03,10:53:13
45,46 Eglise de Tasdon,4,8,2026-07-03,10:53:13
46,21 Technoforum 2,0,8,2026-07-03,10:53:13
47,48 Plage des Minimes 1,4,10,2026-07-03,10:53:13
48,48 Plage des Minimes 2,2,6,2026-07-03,10:53:13
49,24 EIGSI 2,5,8,2026-07-03,10:53:13
50,51 Gymnase Universitaire 1,7,12,2026-07-03,10:53:13
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-03,10:53:13
52,38 Parc Franck Delmas,3,8,2026-07-03,10:53:13
53,53 Les Parcs,2,8,2026-07-03,10:53:13
54,52 Port de Pêche,4,10,2026-07-03,10:53:13
55,36 Eglise de La Genette,3,8,2026-07-03,10:53:13
56,109 P+R Simone Veil,9,14,2026-07-03,10:53:13
57,13 Médiathèque Michel Crépeau 2,3,8,2026-07-03,10:53:13
58,08 Vieux Port 2,11,14,2026-07-03,10:53:13
59,47 Institut Confucius de Chine,4,12,2026-07-03,10:53:13
60,20 Faculté de Sciences 3,6,10,2026-07-03,10:53:13
61,59 Place de Lafond,2,9,2026-07-03,10:53:13
62,03 Arsenal 2,3,8,2026-07-03,10:53:13
63,02 Quai valin 2,4,8,2026-07-03,10:53:13
64,14 Bibliothèque Universitaire 2,6,10,2026-07-03,10:53:13
65,21 Technoforum 3,5,8,2026-07-03,10:53:13
66,09 Office de Tourisme (Gabut) 2,5,10,2026-07-03,10:53:13
67,06 Maison de la Mobilité 2,2,10,2026-07-03,10:53:13
68,24 Plage des Minimes 3,0,8,2026-07-03,10:53:13
69,51 Gymnase Universitaire 2,1,8,2026-07-03,10:53:13
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-03,10:53:13
71,25 IUT 3,3,8,2026-07-03,10:53:13
72,57 Marché de la Pallice,2,8,2026-07-03,10:53:13
73,58 Digue du Bout Blanc,9,12,2026-07-03,10:53:13
74,61 Patte d'Oie,4,10,2026-07-03,10:53:13
75,62 Aquarium 2,4,10,2026-07-03,10:53:13
76,62 Aquarium 1,4,8,2026-07-03,10:53:13
77,63 08 mai 1945,6,14,2026-07-03,10:53:13
78,64 Aéroport,3,8,2026-07-03,10:53:13
79,65 Alstom,8,14,2026-07-03,10:53:13
80,66 Auberge de Jeunesse,2,10,2026-07-03,10:53:13
81,67 Beauregard,7,14,2026-07-03,10:53:13
82,68 Centre Commercial Beaulieu,4,10,2026-07-03,10:53:13
83,69 Centre social vent des lles,5,8,2026-07-03,10:53:13
84,70 Clinique de l'Atlantique,4,8,2026-07-03,10:53:13
85,71 Clos Margat,4,8,2026-07-03,10:53:13
86,72 Stade de Périgny,5,6,2026-07-03,10:53:13
87,73 Denfert Rochereau,5,8,2026-07-03,10:53:13
88,77 Gare d'Aytré,4,8,2026-07-03,10:53:13
89,56 Hôpital St Louis,3,10,2026-07-03,10:53:13
90,79 Les Corsaires,2,8,2026-07-03,10:53:13
91,80 La Pommeraie,4,8,2026-07-03,10:53:13
92,81 Lab Intech,7,10,2026-07-03,10:53:13
93,82 Lieutenant Bernier,5,8,2026-07-03,10:53:13
94,83 Lycée Hotelier,5,8,2026-07-03,10:53:13
95,84 Mairie d'Aytré,7,8,2026-07-03,10:53:13
96,85 Mairie de Lagord,5,8,2026-07-03,10:53:13
97,86 Musée Maritime,2,8,2026-07-03,10:53:13
98,87 Normandin,5,8,2026-07-03,10:53:13
99,88 Oiseaux de Mer,3,8,2026-07-03,10:53:13
100,90 Porte Royale,6,8,2026-07-03,10:53:13
