Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-03,10:34:58
2,10 Porte Maubec,4,8,2026-07-03,10:34:58
3,11 Porte Dauphine,3,8,2026-07-03,10:34:58
4,20 Faculté de Sciences 2,7,10,2026-07-03,10:34:58
5,05 Place de Verdun,6,8,2026-07-03,10:34:58
6,26 Maison de la Charente-Maritime,6,10,2026-07-03,10:34:58
7,04 Marché,2,8,2026-07-03,10:34:58
8,16 Gare 2,1,14,2026-07-03,10:34:58
9,06 Maison de la Mobilité 1,6,10,2026-07-03,10:34:58
10,08 Vieux Port 1,4,14,2026-07-03,10:34:58
11,03 Arsenal 1,4,8,2026-07-03,10:34:58
12,21 Technoforum 1,0,8,2026-07-03,10:34:58
13,15 Office de tourisme (Simenon) 2,3,8,2026-07-03,10:34:58
14,24 EIGSI 1,3,8,2026-07-03,10:34:58
15,13 Médiathèque Michel Crépeau 1,5,8,2026-07-03,10:34:58
16,16 Gare 1,0,14,2026-07-03,10:34:58
17,22 Porte de Cougnes,6,10,2026-07-03,10:34:58
18,14 Bibliothèque Universitaire 1,1,14,2026-07-03,10:34:58
19,07 Préfecture,5,10,2026-07-03,10:34:58
20,25 IUT 2,5,8,2026-07-03,10:34:58
21,02 Quai Valin 1,6,8,2026-07-03,10:34:58
22,23 Place Cacaud 1,1,6,2026-07-03,10:34:58
23,25 IUT 1,4,8,2026-07-03,10:34:58
24,20 Plage des Minimes 4,0,10,2026-07-03,10:34:58
25,12 Piscine,7,10,2026-07-03,10:34:58
26,09 Office de Tourisme (Gabut) 1,3,10,2026-07-03,10:34:58
27,60 Commissariat,3,8,2026-07-03,10:34:58
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-03,10:34:58
29,108 Vaucanson,6,14,2026-07-03,10:34:58
30,28 Maison du Port La Pallice,4,8,2026-07-03,10:34:58
31,29 Mairie Annexe de Laleu,4,8,2026-07-03,10:34:58
32,30 Ludothèque de Mireuil,2,8,2026-07-03,10:34:58
33,31 Mairie Annexe de Mireuil,4,10,2026-07-03,10:34:58
34,32 Place St Maurice,5,10,2026-07-03,10:34:58
35,33 Marché de Port Neuf,5,8,2026-07-03,10:34:58
36,34 Maison de l'Emploi,4,8,2026-07-03,10:34:58
37,37 Plage de la Concurrence 1,5,10,2026-07-03,10:34:58
38,37 Plage de la Concurrence 2,3,10,2026-07-03,10:34:58
39,39 Lycée Vieljeux,5,10,2026-07-03,10:34:58
40,40 Cité Administrative Mangin,5,10,2026-07-03,10:34:58
41,42 LEP de Rompsay,7,12,2026-07-03,10:34:58
42,43 Mairie Annexe de Villeneuve,4,8,2026-07-03,10:34:58
43,44 Centre Cial. de Villeneuve,3,8,2026-07-03,10:34:58
44,45 Parking Jean-Moulin,8,14,2026-07-03,10:34:58
45,46 Eglise de Tasdon,4,8,2026-07-03,10:34:58
46,21 Technoforum 2,0,8,2026-07-03,10:34:58
47,48 Plage des Minimes 1,2,10,2026-07-03,10:34:58
48,48 Plage des Minimes 2,2,6,2026-07-03,10:34:58
49,24 EIGSI 2,4,8,2026-07-03,10:34:58
50,51 Gymnase Universitaire 1,6,12,2026-07-03,10:34:58
51,102 Centre Aquatique de Châtelaillon,6,12,2026-07-03,10:34:58
52,38 Parc Franck Delmas,5,8,2026-07-03,10:34:58
53,53 Les Parcs,2,8,2026-07-03,10:34:58
54,52 Port de Pêche,4,10,2026-07-03,10:34:58
55,36 Eglise de La Genette,3,8,2026-07-03,10:34:58
56,109 P+R Simone Veil,9,14,2026-07-03,10:34:58
57,13 Médiathèque Michel Crépeau 2,3,8,2026-07-03,10:34:58
58,08 Vieux Port 2,10,14,2026-07-03,10:34:58
59,47 Institut Confucius de Chine,5,12,2026-07-03,10:34:58
60,20 Faculté de Sciences 3,6,10,2026-07-03,10:34:58
61,59 Place de Lafond,2,9,2026-07-03,10:34:58
62,03 Arsenal 2,3,8,2026-07-03,10:34:58
63,02 Quai valin 2,3,8,2026-07-03,10:34:58
64,14 Bibliothèque Universitaire 2,6,10,2026-07-03,10:34:58
65,21 Technoforum 3,5,8,2026-07-03,10:34:58
66,09 Office de Tourisme (Gabut) 2,5,10,2026-07-03,10:34:58
67,06 Maison de la Mobilité 2,2,10,2026-07-03,10:34:58
68,24 Plage des Minimes 3,0,8,2026-07-03,10:34:58
69,51 Gymnase Universitaire 2,2,8,2026-07-03,10:34:58
70,15 Office de tourisme (Simenon) 1,3,12,2026-07-03,10:34:58
71,25 IUT 3,4,8,2026-07-03,10:34:58
72,57 Marché de la Pallice,2,8,2026-07-03,10:34:58
73,58 Digue du Bout Blanc,9,12,2026-07-03,10:34:58
74,61 Patte d'Oie,4,10,2026-07-03,10:34:58
75,62 Aquarium 2,4,10,2026-07-03,10:34:58
76,62 Aquarium 1,4,8,2026-07-03,10:34:58
77,63 08 mai 1945,6,14,2026-07-03,10:34:58
78,64 Aéroport,3,8,2026-07-03,10:34:58
79,65 Alstom,8,14,2026-07-03,10:34:58
80,66 Auberge de Jeunesse,2,10,2026-07-03,10:34:58
81,67 Beauregard,8,14,2026-07-03,10:34:58
82,68 Centre Commercial Beaulieu,4,10,2026-07-03,10:34:58
83,69 Centre social vent des lles,5,8,2026-07-03,10:34:58
84,70 Clinique de l'Atlantique,5,8,2026-07-03,10:34:58
85,71 Clos Margat,4,8,2026-07-03,10:34:58
86,72 Stade de Périgny,5,6,2026-07-03,10:34:58
87,73 Denfert Rochereau,5,8,2026-07-03,10:34:58
88,77 Gare d'Aytré,4,8,2026-07-03,10:34:58
89,56 Hôpital St Louis,3,10,2026-07-03,10:34:58
90,79 Les Corsaires,2,8,2026-07-03,10:34:58
91,80 La Pommeraie,4,8,2026-07-03,10:34:58
92,81 Lab Intech,7,10,2026-07-03,10:34:58
93,82 Lieutenant Bernier,5,8,2026-07-03,10:34:58
94,83 Lycée Hotelier,5,8,2026-07-03,10:34:58
95,84 Mairie d'Aytré,7,8,2026-07-03,10:34:58
96,85 Mairie de Lagord,5,8,2026-07-03,10:34:58
97,86 Musée Maritime,2,8,2026-07-03,10:34:58
98,87 Normandin,5,8,2026-07-03,10:34:58
99,88 Oiseaux de Mer,3,8,2026-07-03,10:34:58
100,90 Porte Royale,6,8,2026-07-03,10:34:58
