Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,13:56:28
2,10 Porte Maubec,4,8,2026-07-01,13:56:28
3,11 Porte Dauphine,4,8,2026-07-01,13:56:28
4,20 Faculté de Sciences 2,7,10,2026-07-01,13:56:28
5,05 Place de Verdun,7,8,2026-07-01,13:56:28
6,26 Maison de la Charente-Maritime,4,10,2026-07-01,13:56:28
7,04 Marché,2,8,2026-07-01,13:56:28
8,16 Gare 2,3,14,2026-07-01,13:56:28
9,06 Maison de la Mobilité 1,3,10,2026-07-01,13:56:28
10,08 Vieux Port 1,11,14,2026-07-01,13:56:28
11,03 Arsenal 1,4,8,2026-07-01,13:56:28
12,21 Technoforum 1,1,8,2026-07-01,13:56:28
13,15 Office de tourisme (Simenon) 2,8,8,2026-07-01,13:56:28
14,24 EIGSI 1,2,8,2026-07-01,13:56:28
15,13 Médiathèque Michel Crépeau 1,3,8,2026-07-01,13:56:28
16,16 Gare 1,7,14,2026-07-01,13:56:28
17,22 Porte de Cougnes,3,10,2026-07-01,13:56:28
18,14 Bibliothèque Universitaire 1,4,14,2026-07-01,13:56:28
19,07 Préfecture,5,10,2026-07-01,13:56:28
20,25 IUT 2,3,8,2026-07-01,13:56:28
21,02 Quai Valin 1,3,8,2026-07-01,13:56:28
22,23 Place Cacaud 1,5,6,2026-07-01,13:56:28
23,25 IUT 1,2,8,2026-07-01,13:56:28
24,20 Plage des Minimes 4,0,10,2026-07-01,13:56:28
25,12 Piscine,4,10,2026-07-01,13:56:28
26,09 Office de Tourisme (Gabut) 1,6,10,2026-07-01,13:56:28
27,60 Commissariat,4,8,2026-07-01,13:56:28
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,13:56:28
29,108 Vaucanson,6,14,2026-07-01,13:56:28
30,28 Maison du Port La Pallice,5,8,2026-07-01,13:56:28
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,13:56:28
32,30 Ludothèque de Mireuil,3,8,2026-07-01,13:56:28
33,31 Mairie Annexe de Mireuil,6,10,2026-07-01,13:56:28
34,32 Place St Maurice,5,10,2026-07-01,13:56:28
35,33 Marché de Port Neuf,2,8,2026-07-01,13:56:28
36,34 Maison de l'Emploi,4,8,2026-07-01,13:56:28
37,37 Plage de la Concurrence 1,7,10,2026-07-01,13:56:28
38,37 Plage de la Concurrence 2,4,10,2026-07-01,13:56:28
39,39 Lycée Vieljeux,3,10,2026-07-01,13:56:28
40,40 Cité Administrative Mangin,2,10,2026-07-01,13:56:28
41,42 LEP de Rompsay,2,12,2026-07-01,13:56:28
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-01,13:56:28
43,44 Centre Cial. de Villeneuve,3,8,2026-07-01,13:56:28
44,45 Parking Jean-Moulin,8,14,2026-07-01,13:56:28
45,46 Eglise de Tasdon,3,8,2026-07-01,13:56:28
46,21 Technoforum 2,4,8,2026-07-01,13:56:28
47,48 Plage des Minimes 1,1,10,2026-07-01,13:56:28
48,48 Plage des Minimes 2,1,6,2026-07-01,13:56:28
49,24 EIGSI 2,4,8,2026-07-01,13:56:28
50,51 Gymnase Universitaire 1,5,12,2026-07-01,13:56:28
51,102 Centre Aquatique de Châtelaillon,8,12,2026-07-01,13:56:28
52,38 Parc Franck Delmas,6,8,2026-07-01,13:56:28
53,53 Les Parcs,2,8,2026-07-01,13:56:28
54,52 Port de Pêche,5,10,2026-07-01,13:56:28
55,36 Eglise de La Genette,5,8,2026-07-01,13:56:28
56,109 P+R Simone Veil,4,14,2026-07-01,13:56:28
57,13 Médiathèque Michel Crépeau 2,5,8,2026-07-01,13:56:28
58,08 Vieux Port 2,13,14,2026-07-01,13:56:28
59,47 Institut Confucius de Chine,3,12,2026-07-01,13:56:28
60,20 Faculté de Sciences 3,3,10,2026-07-01,13:56:28
61,59 Place de Lafond,3,9,2026-07-01,13:56:28
62,03 Arsenal 2,2,8,2026-07-01,13:56:28
63,02 Quai valin 2,0,8,2026-07-01,13:56:28
64,14 Bibliothèque Universitaire 2,1,10,2026-07-01,13:56:28
65,21 Technoforum 3,5,8,2026-07-01,13:56:28
66,09 Office de Tourisme (Gabut) 2,5,10,2026-07-01,13:56:28
67,06 Maison de la Mobilité 2,2,10,2026-07-01,13:56:28
68,24 Plage des Minimes 3,0,8,2026-07-01,13:56:28
69,51 Gymnase Universitaire 2,2,8,2026-07-01,13:56:28
70,15 Office de tourisme (Simenon) 1,6,12,2026-07-01,13:56:28
71,25 IUT 3,2,8,2026-07-01,13:56:28
72,57 Marché de la Pallice,5,8,2026-07-01,13:56:28
73,58 Digue du Bout Blanc,3,12,2026-07-01,13:56:28
74,61 Patte d'Oie,1,10,2026-07-01,13:56:28
75,62 Aquarium 2,3,10,2026-07-01,13:56:28
76,62 Aquarium 1,3,8,2026-07-01,13:56:28
77,63 08 mai 1945,5,14,2026-07-01,13:56:28
78,64 Aéroport,2,8,2026-07-01,13:56:28
79,65 Alstom,9,14,2026-07-01,13:56:28
80,66 Auberge de Jeunesse,4,10,2026-07-01,13:56:28
81,67 Beauregard,11,14,2026-07-01,13:56:28
82,68 Centre Commercial Beaulieu,9,10,2026-07-01,13:56:28
83,69 Centre social vent des lles,4,8,2026-07-01,13:56:28
84,70 Clinique de l'Atlantique,4,8,2026-07-01,13:56:28
85,71 Clos Margat,5,8,2026-07-01,13:56:28
86,72 Stade de Périgny,3,6,2026-07-01,13:56:28
87,73 Denfert Rochereau,1,8,2026-07-01,13:56:28
88,77 Gare d'Aytré,3,8,2026-07-01,13:56:28
89,56 Hôpital St Louis,7,10,2026-07-01,13:56:28
90,79 Les Corsaires,5,8,2026-07-01,13:56:28
91,80 La Pommeraie,1,8,2026-07-01,13:56:28
92,81 Lab Intech,5,10,2026-07-01,13:56:28
93,82 Lieutenant Bernier,3,8,2026-07-01,13:56:28
94,83 Lycée Hotelier,5,8,2026-07-01,13:56:28
95,84 Mairie d'Aytré,3,8,2026-07-01,13:56:28
96,85 Mairie de Lagord,3,8,2026-07-01,13:56:28
97,86 Musée Maritime,3,8,2026-07-01,13:56:28
98,87 Normandin,4,8,2026-07-01,13:56:28
99,88 Oiseaux de Mer,3,8,2026-07-01,13:56:28
100,90 Porte Royale,3,8,2026-07-01,13:56:28
