Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,6,8,2026-07-02,20:52:46
2,10 Porte Maubec,6,8,2026-07-02,20:52:46
3,11 Porte Dauphine,4,8,2026-07-02,20:52:46
4,20 Faculté de Sciences 2,1,10,2026-07-02,20:52:46
5,05 Place de Verdun,4,8,2026-07-02,20:52:46
6,26 Maison de la Charente-Maritime,2,10,2026-07-02,20:52:46
7,04 Marché,5,8,2026-07-02,20:52:46
8,16 Gare 2,12,14,2026-07-02,20:52:46
9,06 Maison de la Mobilité 1,7,10,2026-07-02,20:52:46
10,08 Vieux Port 1,14,14,2026-07-02,20:52:46
11,03 Arsenal 1,6,8,2026-07-02,20:52:46
12,21 Technoforum 1,3,8,2026-07-02,20:52:46
13,15 Office de tourisme (Simenon) 2,3,8,2026-07-02,20:52:46
14,24 EIGSI 1,5,8,2026-07-02,20:52:46
15,13 Médiathèque Michel Crépeau 1,5,8,2026-07-02,20:52:46
16,16 Gare 1,7,14,2026-07-02,20:52:46
17,22 Porte de Cougnes,8,10,2026-07-02,20:52:46
18,14 Bibliothèque Universitaire 1,0,14,2026-07-02,20:52:46
19,07 Préfecture,8,10,2026-07-02,20:52:46
20,25 IUT 2,0,8,2026-07-02,20:52:46
21,02 Quai Valin 1,8,8,2026-07-02,20:52:46
22,23 Place Cacaud 1,2,6,2026-07-02,20:52:46
23,25 IUT 1,0,8,2026-07-02,20:52:46
24,20 Plage des Minimes 4,0,10,2026-07-02,20:52:46
25,12 Piscine,4,10,2026-07-02,20:52:46
26,09 Office de Tourisme (Gabut) 1,5,10,2026-07-02,20:52:46
27,60 Commissariat,5,8,2026-07-02,20:52:46
28,104 Office de Tourisme de Châtelaillon,4,8,2026-07-02,20:52:46
29,108 Vaucanson,6,14,2026-07-02,20:52:46
30,28 Maison du Port La Pallice,5,8,2026-07-02,20:52:46
31,29 Mairie Annexe de Laleu,3,8,2026-07-02,20:52:46
32,30 Ludothèque de Mireuil,2,8,2026-07-02,20:52:46
33,31 Mairie Annexe de Mireuil,6,10,2026-07-02,20:52:46
34,32 Place St Maurice,3,10,2026-07-02,20:52:46
35,33 Marché de Port Neuf,4,8,2026-07-02,20:52:46
36,34 Maison de l'Emploi,3,8,2026-07-02,20:52:46
37,37 Plage de la Concurrence 1,8,10,2026-07-02,20:52:46
38,37 Plage de la Concurrence 2,5,10,2026-07-02,20:52:46
39,39 Lycée Vieljeux,4,10,2026-07-02,20:52:46
40,40 Cité Administrative Mangin,4,10,2026-07-02,20:52:46
41,42 LEP de Rompsay,0,12,2026-07-02,20:52:46
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-02,20:52:46
43,44 Centre Cial. de Villeneuve,4,8,2026-07-02,20:52:46
44,45 Parking Jean-Moulin,5,14,2026-07-02,20:52:46
45,46 Eglise de Tasdon,3,8,2026-07-02,20:52:46
46,21 Technoforum 2,5,8,2026-07-02,20:52:46
